GEOID10,NAMELSAD10,MUNI_MUN_LABEL,MUNI_CENSUS2010,MUNI_GISJOIN2
3400640,Allamuchy CDP,Allamuchy Township,3404100670,G340041000670
3400790,Allenwood CDP,Wall Township,3402576460,G340025076460
3400850,Alloway CDP,Alloway Township,3403300880,G340033000880
3401300,Anderson CDP,Mansfield Township,3404143320,G340041043320
3401480,Annandale CDP,Clinton Township,3401913750,G340019013750
3401900,Asbury CDP,Franklin Township,3404124960,G340041024960
3401990,Ashland CDP,Cherry Hill Township,3400712280,G340007012280
3402350,Avenel CDP,Woodbridge Township,3402382000,G340023082000
3402880,Barclay CDP,Cherry Hill Township,3400712280,G340007012280
3403040,Barnegat CDP,Barnegat Township,3402903050,G340029003050
3404120,Beach Haven West CDP,Stafford Township,3402970320,G340029070320
3404252,Beattystown CDP,Mansfield Township,3404143320,G340041043320
3404400,Beckett CDP,Logan Township,3401541160,G340015041160
3404600,Belford CDP,Middletown Township,3402545990,G340025045990
3404630,Belle Mead CDP,Montgomery Township,3403547580,G340035047580
3404660,Belleplain CDP,Dennis Township,3400917560,G340009017560
3406025,Blackwells Mills CDP,Franklin Township,3403524900,G340035024900
3406040,Blackwood CDP,Gloucester Township,3400726760,G340007026760
3406130,Blairstown CDP,Blairstown Township,3404106160,G340041006160
3406190,Blawenburg CDP,Montgomery Township,3403547580,G340035047580
3407000,Bradley Gardens CDP,Bridgewater Township,3403507720,G340035007720
3407120,Brainards CDP,Harmony Township,3404130090,G340041030090
3407360,Brass Castle CDP,Washington Township,3404177300,G340041077300
3407660,Bridgeville CDP,White Township,3404180570,G340041080570
3408020,Broadway CDP,Franklin Township,3404124960,G340041024960
3408110,Brookdale CDP,Bloomfield Township,3401306260,G340013006260
3408140,Brookfield CDP,White Township,3404180570,G340041080570
3408455,Browns Mills CDP,Pemberton Township,3400557510,G340005057510
3408492,Brownville CDP,Old Bridge Township,3402354705,G340023054705
3408620,Budd Lake CDP,Mount Olive Township,3402749080,G340027049080
3408890,Burleigh CDP,Middle Township,3400945810,G340009045810
3409100,Buttzville CDP,White Township,3404180570,G340041080570
3409170,Byram Center CDP,Byram Township,3403709160,G340037009160
3410300,Cape May Court House CDP,Middle Township,3400945810,G340009045810
3410600,Carneys Point CDP,Carneys Point Township,3403310610,G340033010610
3411140,Cedar Glen Lakes CDP,Manchester Township,3402943140,G340029043140
3411155,Cedar Glen West CDP,Manchester Township,3402943140,G340029043140
3411410,Cedarville CDP,Lawrence Township,3401139450,G340011039450
3412385,Cherry Hill Mall CDP,Cherry Hill Township,3400712280,G340007012280
3413399,Clearbrook Park CDP,Monroe Township,3402347280,G340023047280
3413630,Cliffwood Beach CDP,Aberdeen Township,3402500070,G340025000070
3413990,Clyde CDP,Franklin Township,3403524900,G340035024900
3414230,Collings Lakes CDP,Buena Vista Township,3400108710,G340001008710
3414380,Colonia CDP,Woodbridge Township,3402382000,G340023082000
3414590,Columbia CDP,Knowlton Township,3404137320,G340041037320
3414758,Concordia CDP,Monroe Township,3402347280,G340023047280
3415250,Country Lake Estates CDP,Pemberton Township,3400557510,G340005057510
3415520,Cranbury CDP,Cranbury Township,3402315550,G340023015550
3415610,Crandon Lakes CDP,Hampton Township,3403729490,G340037029490
3415910,Crestwood Village CDP,Manchester Township,3402943140,G340029043140
3416630,Dayton CDP,South Brunswick Township,3402368790,G340023068790
3417200,Delaware CDP,Knowlton Township,3404137320,G340041037320
3417260,Delaware Park CDP,Lopatcong Township,3404141490,G340041041490
3417815,Diamond Beach CDP,Lower Township,3400941610,G340009041610
3418148,Dover Beaches North CDP,Toms River Township,3402973125,G340029073125
3418151,Dover Beaches South CDP,Toms River Township,3402973125,G340029073125
3419130,East Franklin CDP,Franklin Township,3403524900,G340035024900
3419150,East Freehold CDP,Freehold Township,3402525230,G340025025230
3419330,East Millstone CDP,Franklin Township,3403524900,G340035024900
3419490,East Rocky Hill CDP,Franklin Township,3403524900,G340035024900
3419900,Echelon CDP,Voorhees Township,3400776220,G340007076220
3421120,Ellisburg CDP,Cherry Hill Township,3400712280,G340007012280
3421420,Elwood CDP,Mullica Township,3400149410,G340001049410
3421660,Erma CDP,Lower Township,3400941610,G340009041610
3422530,Fairton CDP,Fairfield Township,3401122350,G340011022350
3422740,Fairview CDP,Middletown Township,3402545990,G340025045990
3423310,Finderne CDP,Bridgewater Township,3403507720,G340035007720
3423340,Finesville CDP,Pohatcong Township,3404159820,G340041059820
3423820,Florence CDP,Florence Township,3400523850,G340005023850
3424030,Fords CDP,Woodbridge Township,3402382000,G340023082000
3424180,Forked River CDP,Lacey Township,3402937380,G340029037380
3424300,Fort Dix CDP,Pemberton Township,3400557510,G340005057510
3424300,Fort Dix CDP,Wrightstown Borough,3400582960,G340005082960
3424300,Fort Dix CDP,Springfield Township,3400569990,G340005069990
3424300,Fort Dix CDP,New Hanover Township,3400551510,G340005051510
3424965,Franklin Center CDP,Franklin Township,3403524900,G340035024900
3425020,Franklin Park CDP,Franklin Township,3403524900,G340035024900
3426100,Gibbstown CDP,Greenwich Township,3401528185,G340015028185
3426520,Glendora CDP,Gloucester Township,3400726760,G340007026760
3426902,Golden Triangle CDP,Cherry Hill Township,3400712280,G340007012280
3427360,Great Meadows CDP,Independence Township,3404133930,G340041033930
3427840,Green Knoll CDP,Bridgewater Township,3403507720,G340035007720
3427995,Greentree CDP,Cherry Hill Township,3400712280,G340007012280
3428250,Greenwich CDP,Greenwich Township,3404128260,G340041028260
3428470,Griggstown CDP,Franklin Township,3403524900,G340035024900
3428620,Groveville CDP,Hamilton Township,3402129310,G340021029310
3428920,Hainesburg CDP,Knowlton Township,3404137320,G340041037320
3429370,Hamilton Square CDP,Hamilton Township,3402129310,G340021029310
3429520,Hancocks Bridge CDP,Lower Alloways Creek Township,3403341640,G340033041640
3429940,Harlingen CDP,Montgomery Township,3403547580,G340035047580
3430060,Harmony CDP,Harmony Township,3404130090,G340041030090
3430738,Heathcote CDP,South Brunswick Township,3402368790,G340023068790
3431405,Highland Lake CDP,Vernon Township,3403775740,G340037075740
3432418,Holiday City South CDP,Berkeley Township,3402905305,G340029005305
3432415,Holiday City-Berkeley CDP,Berkeley Township,3402905305,G340029005305
3432424,Holiday Heights CDP,Berkeley Township,3402905305,G340029005305
3433030,Hope CDP,Hope Township,3404133060,G340041033060
3433690,Hutchinson CDP,Harmony Township,3404130090,G340041030090
3434470,Iselin CDP,Woodbridge Township,3402382000,G340023082000
3436150,Johnsonburg CDP,Frelinghuysen Township,3404125320,G340041025320
3436300,Juliustown CDP,Wrightstown Borough,3400582960,G340005082960
3436300,Juliustown CDP,Springfield Township,3400569990,G340005069990
3436660,Kendall Park CDP,South Brunswick Township,3402368790,G340023068790
3436720,Kenvil CDP,Roxbury Township,3402764980,G340027064980
3436930,Kingston CDP,South Brunswick Township,3402368790,G340023068790
3436960,Kingston Estates CDP,Cherry Hill Township,3400712280,G340007012280
