Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size
31-Dec-22,City,NJ New Jersey,3400100 ABSECON CITY,8,Summary of All HUD Programs,1,NA,NJ ABSECON CITY,3400100,86,89,73,96,8,1,2.1,150,421,776,16676,8116,8,6,34,17,35,27,3,58,25,93,64,1,38,90,38,35,84,26,1,52,21,26,1,78,68,-1,-1,22,1,8,-1,10,0,54,131,78,143,37,45,18,16,15,42,50,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400100 ABSECON CITY,8,Housing Choice Vouchers,3,NA,NJ ABSECON CITY,3400100,69,87,56,94,8,2,2.4,133,441,896,17301,7285,10,8,23,13,46,34,4,46,25,91,61,2,50,91,50,28,67,17,2,63,20,16,2,91,79,-1,-1,9,2,11,-1,13,0,54,139,100,144,18,59,23,21,19,49,41,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400100 ABSECON CITY,8,Project Based Section 8,5,NA,NJ ABSECON CITY,3400100,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400100 ABSECON CITY,8,811/PRAC,9,NA,NJ ABSECON CITY,3400100,16,99,16,100,7,-1,1.0,16,339,320,13967,13967,-1,-1,69,31,-1,-1,-1,100,24,100,81,-1,-1,88,-1,100,100,100,-1,19,19,63,-1,31,31,-1,-1,69,-1,-1,-1,0,0,-1,94,-1,-1,100,-1,-1,-1,1,15,86,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400640 ALLAMUCHY CDP,8,Summary of All HUD Programs,1,NA,NJ ALLAMUCHY CDP,3400640,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00640,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400640 ALLAMUCHY CDP,8,Housing Choice Vouchers,3,NA,NJ ALLAMUCHY CDP,3400640,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00640,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400700 ALLENDALE BOROUGH,8,Summary of All HUD Programs,1,NA,NJ ALLENDALE BOROUGH,3400700,21,93,20,100,5,80,1.6,31,657,1118,29781,19214,-1,-1,15,5,80,10,-1,90,32,100,50,-1,15,75,15,67,12,23,-1,10,5,85,35,35,-1,-1,15,65,-1,20,-1,20,0,1,47,100,80,85,-1,15,-1,2,16,76,NA,NA,00700,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400700 ALLENDALE BOROUGH,8,Housing Choice Vouchers,3,NA,NJ ALLENDALE BOROUGH,3400700,21,93,20,100,5,80,1.6,31,657,1118,29781,19214,-1,-1,15,5,80,10,-1,90,32,100,50,-1,15,75,15,67,12,23,-1,10,5,85,35,35,-1,-1,15,65,-1,20,-1,20,0,1,47,100,80,85,-1,15,-1,2,16,76,NA,NA,00700,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400850 ALLOWAY CDP,8,Summary of All HUD Programs,1,NA,NJ ALLOWAY CDP,3400850,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00850,NA,NA,NJ,NA,NA
31-Dec-22,City,NJ New Jersey,3400850 ALLOWAY CDP,8,Housing Choice Vouchers,3,NA,NJ ALLOWAY CDP,3400850,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00850,NA,NA,NJ,NA,NA
