"","Quarter","gsl","states","entities","sumlevel","program_label","program","sub_program","name","code","total_units","pct_occupied","number_reported","pct_reported","months_since_report","pct_movein","people_per_unit","people_total","rent_per_month","spending_per_month","hh_income","person_income","pct_lt5k","pct_5k_lt10k","pct_10k_lt15k","pct_15k_lt20k","pct_ge20k","pct_wage_major","pct_welfare_major","pct_other_major","pct_median","pct_lt50_median","pct_lt30_median","pct_2adults","pct_1adult","pct_female_head","pct_female_head_child","pct_disabled_lt62","pct_disabled_ge62","pct_disabled_all","pct_lt24_head","pct_age25_50","pct_age51_61","pct_age62plus","pct_age85plus","pct_minority","pct_black_nonhsp","pct_native_american_nonhsp","pct_asian_pacific_nonhsp","pct_white_nothsp","pct_black_hsp","pct_wht_hsp","pct_oth_hsp","pct_hispanic","pct_multi","months_waiting","months_from_movein","pct_utility_allow","ave_util_allow","pct_bed1","pct_bed2","pct_bed3","pct_overhoused","tpoverty","tminority","tpct_ownsfd","fedhse","cbsa","place","latitude","longitude","state","pha_total_units","ha_size"
"1",2021-12-31,"City","NJ New Jersey","3400100 ABSECON CITY",8,"Summary of All HUD Programs",1,"NA","NJ ABSECON CITY","3400100",95,85,85,100,6,8,2.1,177,451,791,18122,8703,5,10,33,16,37,24,2,71,27,94,62,1,40,89,39,40,80,28,1,53,22,24,1,78,66,-1,-1,22,1,9,1,12,1,21,124,79,144,35,46,19,15,16,42,50,"NA","NA","00100","NA","NA","NJ","NA","NA"
"2",2021-12-31,"City","NJ New Jersey","3400100 ABSECON CITY",8,"Housing Choice Vouchers",3,"NA","NJ ABSECON CITY","3400100",78,82,67,100,6,6,2.4,159,480,910,19210,8095,6,13,23,13,45,28,3,64,28,93,55,1,51,91,49,33,60,20,1,61,22,15,1,90,75,-1,-1,10,1,12,1,15,1,21,132,99,145,18,58,24,19,19,48,42,"NA","NA","00100","NA","NA","NJ","NA","NA"
"3",2021-12-31,"City","NJ New Jersey","3400100 ABSECON CITY",8,"Project Based Section 8",5,"NA","NJ ABSECON CITY","3400100",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","NA","00100","NA","NA","NJ","NA","NA"
"4",2021-12-31,"City","NJ New Jersey","3400100 ABSECON CITY",8,"811/PRAC",9,"NA","NJ ABSECON CITY","3400100",16,95,16,100,7,19,1,16,323,317,13320,13320,-1,-1,69,31,-1,-1,-1,100,23,100,94,-1,-1,88,-1,100,100,100,-1,19,19,63,-1,31,31,-1,-1,69,-1,-1,-1,0,0,-1,82,-1,-1,100,-1,-1,-1,1,15,86,"NA","NA","00100","NA","NA","NJ","NA","NA"
"5",2021-12-31,"City","NJ New Jersey","3400640 ALLAMUCHY CDP",8,"Summary of All HUD Programs",1,"NA","NJ ALLAMUCHY CDP","3400640",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","NA","00640","NA","NA","NJ","NA","NA"
"6",2021-12-31,"City","NJ New Jersey","3400640 ALLAMUCHY CDP",8,"Housing Choice Vouchers",3,"NA","NJ ALLAMUCHY CDP","3400640",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","NA","00640","NA","NA","NJ","NA","NA"
"7",2021-12-31,"City","NJ New Jersey","3400700 ALLENDALE BOROUGH",8,"Summary of All HUD Programs",1,"NA","NJ ALLENDALE BOROUGH","3400700",5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","NA","00700","NA","NA","NJ","NA","NA"
"8",2021-12-31,"City","NJ New Jersey","3400700 ALLENDALE BOROUGH",8,"Housing Choice Vouchers",3,"NA","NJ ALLENDALE BOROUGH","3400700",5,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","NA","00700","NA","NA","NJ","NA","NA"
"9",2021-12-31,"City","NJ New Jersey","3400850 ALLOWAY CDP",8,"Summary of All HUD Programs",1,"NA","NJ ALLOWAY CDP","3400850",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","NA","00850","NA","NA","NJ","NA","NA"
"10",2021-12-31,"City","NJ New Jersey","3400850 ALLOWAY CDP",8,"Housing Choice Vouchers",3,"NA","NJ ALLOWAY CDP","3400850",2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","NA","00850","NA","NA","NJ","NA","NA"
"11",2021-12-31,"City","NJ New Jersey","3401030 ALPHA BOROUGH",8,"Summary of All HUD Programs",1,"NA","NJ ALPHA BOROUGH","3401030",28,99,28,100,5,4,2.1,58,398,782,17075,8243,4,25,25,14,32,21,4,75,20,93,82,-1,29,79,25,31,58,26,-1,36,21,43,18,11,4,-1,-1,89,-1,7,-1,7,0,-1,124,96,139,36,54,11,14,6,11,69,"NA","NA","01030","NA","NA","NJ","NA","NA"
"12",2021-12-31,"City","NJ New Jersey","3401030 ALPHA BOROUGH",8,"Housing Choice Vouchers",3,"NA","NJ ALPHA BOROUGH","3401030",28,99,28,100,5,4,2.1,58,398,782,17075,8243,4,25,25,14,32,21,4,75,20,93,82,-1,29,79,25,31,58,26,-1,36,21,43,18,11,4,-1,-1,89,-1,7,-1,7,0,-1,124,96,139,36,54,11,14,6,11,69,"NA","NA","01030","NA","NA","NJ","NA","NA"
"13",2021-12-31,"City","NJ New Jersey","3401480 ANNANDALE CDP",8,"Summary of All HUD Programs",1,"NA","NJ ANNANDALE CDP","3401480",21,87,20,100,6,5,1.5,29,467,1072,20012,13801,5,10,30,10,45,10,-1,90,22,100,75,-1,20,80,20,38,67,41,-1,35,5,60,10,10,-1,-1,-1,90,-1,10,-1,10,0,-1,115,100,180,50,40,10,25,3,24,89,"NA","NA","01480","NA","NA","NJ","NA","NA"
"14",2021-12-31,"City","NJ New Jersey","3401480 ANNANDALE CDP",8,"Housing Choice Vouchers",3,"NA","NJ ANNANDALE CDP","3401480",21,87,20,100,6,5,1.5,29,467,1072,20012,13801,5,10,30,10,45,10,-1,90,22,100,75,-1,20,80,20,38,67,41,-1,35,5,60,10,10,-1,-1,-1,90,-1,10,-1,10,0,-1,115,100,180,50,40,10,25,3,24,89,"NA","NA","01480","NA","NA","NJ","NA","NA"
