"","gsl","states","entities","sumlevel","program_label","program","sub_program","name","code","total_units","pct_occupied","number_reported","pct_reported","months_since_report","pct_movein","people_per_unit","people_total","rent_per_month","spending_per_month","hh_income","person_income","pct_lt5k","pct_5k_lt10k","pct_10k_lt15k","pct_15k_lt20k","pct_ge20k","pct_wage_major","pct_welfare_major","pct_other_major","pct_median","pct_lt50_median","pct_lt30_median","pct_2adults","pct_1adult","pct_female_head","pct_female_head_child","pct_disabled_lt62","pct_disabled_ge62","pct_disabled_all","pct_lt24_head","pct_age25_50","pct_age51_61","pct_age62plus","pct_age85plus","pct_minority","pct_black_nonhsp","pct_native_american_nonhsp","pct_asian_pacific_nonhsp","pct_white_nothsp","pct_black_hsp","pct_wht_hsp","pct_oth_hsp","pct_hispanic","pct_multi","months_waiting","months_from_movein","pct_utility_allow","ave_util_allow","pct_bed1","pct_bed2","pct_bed3","pct_overhoused","tpoverty","tminority","tpct_ownsfd","fedhse","cbsa","place","latitude","longitude","state","pha_total_units","ha_size","Quarter"
"1","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000100",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 000100","34001000100",30,85,25,97,6,12,1.7,43,364,849,15564,9049,13,25,25,21,17,28,-1,68,24,92,76,-1,20,72,20,24,75,33,-1,36,32,32,-1,84,48,-1,-1,16,12,20,4,36,0,88,132,92,101,68,16,16,12,48,72,33,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"2","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000100",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 000100","34001000100",29,84,24,97,6,13,1.8,42,358,843,15359,8777,13,26,26,22,13,29,-1,67,23,92,79,-1,21,71,21,24,86,33,-1,38,33,29,-1,83,46,-1,-1,17,13,21,4,38,0,88,121,92,101,67,17,17,13,48,72,33,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"3","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000100",7,"Project Based Section 8",5,"NA","NJ New Jersey Atlantic County 000100","34001000100",1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"4","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000200",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 000200","34001000200",19,85,16,99,7,19,1.3,21,403,869,15853,12078,-1,14,50,-1,36,13,-1,75,26,88,69,6,6,69,13,36,60,33,-1,19,50,31,-1,25,6,-1,6,69,-1,6,6,13,0,21,74,69,86,81,19,-1,6,29,60,29,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"5","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000200",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 000200","34001000200",18,84,15,99,6,20,1.3,20,430,889,16910,12682,-1,14,50,-1,36,13,-1,80,27,87,67,7,7,73,13,30,60,30,-1,20,47,33,-1,27,7,-1,7,73,-1,7,7,13,0,21,70,73,86,80,20,-1,7,29,60,29,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"6","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000200",7,"811/PRAC",9,"NA","NJ New Jersey Atlantic County 000200","34001000200",1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"7","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000300",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 000300","34001000300",57,83,47,99,6,4,2.1,101,358,852,14365,6685,14,20,27,9,30,21,4,68,21,98,77,6,32,74,28,29,77,23,6,47,19,28,2,85,53,-1,2,15,-1,23,6,30,2,68,111,96,73,45,34,21,9,26,86,8,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"8","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000300",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 000300","34001000300",57,83,47,99,6,4,2.1,101,358,852,14365,6685,14,20,27,9,30,21,4,68,21,98,77,6,32,74,28,29,77,23,6,47,19,28,2,85,53,-1,2,15,-1,23,6,30,2,68,111,96,73,45,34,21,9,26,86,8,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"9","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000400",7,"Summary of All HUD Programs",1,"NA","NJ New Jersey Atlantic County 000400","34001000400",29,86,25,100,6,8,1.3,33,358,892,14383,10897,9,17,30,22,22,16,4,72,23,92,60,-1,12,80,12,44,44,39,4,36,24,36,4,60,44,-1,-1,40,-1,16,-1,16,4,3,119,76,88,76,16,8,4,41,70,9,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
"10","Census Tract","NJ New Jersey","NJ New Jersey 001 Atlantic County 34001000400",7,"Housing Choice Vouchers",3,"NA","NJ New Jersey Atlantic County 000400","34001000400",29,86,25,100,6,8,1.3,33,358,892,14383,10897,9,17,30,22,22,16,4,72,23,92,60,-1,12,80,12,44,44,39,4,36,24,36,4,60,44,-1,-1,40,-1,16,-1,16,4,3,119,76,88,76,16,8,4,41,70,9,"NA","12100","02080","NA","NA","NJ","NA","NA",2021-12-31
