"","NAMELSAD","NAMELSAD.1","coverage","GEOID","GEOID.1"
"108","Fort Dix CDP","Pemberton township",0.123796253655783,"3424300","3400557510"
"12","Auburn CDP","Oldmans township",0.0938491465617274,"3402170","3403354810"
"64","Cookstown CDP","New Hanover township",0.949579036355313,"3414980","3400551510"
"108.1","Fort Dix CDP","New Hanover township",0.861022609604056,"3424300","3400551510"
"188","McGuire AFB CDP","New Hanover township",0.907078792499104,"3442390","3400551510"
"207","Milmay CDP","Maurice River township",0.212535392173637,"3446710","3401144580"
"265","Port Colden CDP","Mansfield township",0.0135318996053873,"3460210","3404143320"
"108.2","Fort Dix CDP","Springfield township",0.0151811367401004,"3424300","3400569990"
"64.1","Cookstown CDP","North Hanover township",0.0504209636448149,"3414980","3400553070"
"188.1","McGuire AFB CDP","North Hanover township",0.0929212075008788,"3442390","3400553070"
"12.1","Auburn CDP","Pilesgrove township",0.906150853438354,"3402170","3403358530"
"265.1","Port Colden CDP","Washington township",0.98646810039422,"3460210","3404177300"
"219","Mount Tabor CDP","Parsippany-Troy Hills township",0.9974834179176,"3449290","3402756460"
"186","Lower Berkshire Valley CDP","Jefferson township",0.0253749676249539,"3441700","3402734980"
"237","Oak Ridge CDP","Jefferson township",0.7588089241355,"3453910","3402734980"
"237.1","Oak Ridge CDP","West Milford township",0.241191075864602,"3453910","3403179460"
"342","Upper Greenwood Lake CDP","West Milford township",0.917948982308714,"3474930","3403179460"
"330","The Hills CDP","Bernards township",0.591232895530584,"3472635","3403505560"
"125","Green Village CDP","Chatham township",0.874787911977658,"3428020","3402712130"
"262","Pluckemin CDP","Bedminster township",0.775376773494194,"3459730","3403504450"
"272","Pottersville CDP","Bedminster township",0.299502774083703,"3460750","3403504450"
"330.1","The Hills CDP","Bedminster township",0.408767104469558,"3472635","3403504450"
"153","Kean University CDP","Union township",0.948080259412293,"3436484","3403974480"
"307","Silver Lake CDP","Belleville township",0.756046093964681,"3467590","3401304695"
"307.1","Silver Lake CDP","Bloomfield township",0.243953906035144,"3467590","3401306260"
"212","Montclair State University CDP","Montclair township",0.0595865489258069,"3447524","3401347500"
"225","Neshanic Station CDP","Branchburg township",0.956606676829353,"3450100","3403507180"
"262.1","Pluckemin CDP","Bridgewater township",0.224623226505997,"3459730","3403507720"
"212.1","Montclair State University CDP","Little Falls township",0.940413451074521,"3447524","3403140620"
"67","Crandon Lakes CDP","Hampton township",0.624151036503239,"3415610","3403729490"
"161","Lake Mohawk CDP","Sparta township",0.759437564689114,"3438040","3403769690"
"166","Landing CDP","Hopatcong borough",0.000356678766205383,"3438700","3403732910"
"67.1","Crandon Lakes CDP","Stillwater township",0.375848963496722,"3415610","3403770890"
"128","Grenloch CDP","Gloucester township",0.540037349823197,"3428380","3400726760"
"305","Sicklerville CDP","Gloucester township",0.502311638977063,"3467470","3400726760"
"303","Sheppards Mill CDP","Greenwich township",0.706594571019984,"3466970","3401128170"
"288","Roadstown CDP","Stow Creek township",0.490779079666807,"3463810","3401171160"
"305.1","Sicklerville CDP","Winslow township",0.497688361022765,"3467470","3400781740"
"287","Rio Grande CDP","Lower township",0.0852186050622488,"3463180","3400941610"
"287.1","Rio Grande CDP","Middle township",0.914781394937797,"3463180","3400945810"
"207.1","Milmay CDP","Buena Vista township",0.787464607826363,"3446710","3400108710"
"288.1","Roadstown CDP","Hopewell township",0.509220920333173,"3463810","3401133120"
"303.1","Sheppards Mill CDP","Hopewell township",0.293405428980317,"3466970","3401133120"
"285","Richwood CDP","Harrison township",0.905516791877797,"3462820","3401530180"
"286","Ringoes CDP","East Amwell township",0.992438059820303,"3463120","3401918820"
"225.1","Neshanic Station CDP","Readington township",0.0433933231706016,"3450100","3401962250"
"239","Ocean Acres CDP","Barnegat township",0.359914404185087,"3454315","3402903050"
"24","Belle Mead CDP","Hillsborough township",0.490907941720952,"3404630","3403531890"
"26","Blackwells Mills CDP","Hillsborough township",0.867897328510956,"3406025","3403531890"
"24.1","Belle Mead CDP","Montgomery township",0.509092058278995,"3404630","3403547580"
"296","Rutgers University-Livingston Campus CDP","Piscataway township",0.813643366125127,"3465260","3402359010"
"26.1","Blackwells Mills CDP","Franklin township",0.132102671489108,"3406025","3403524900"
"157","Kingston CDP","Franklin township",0.750880633533293,"3436930","3403524900"
"296.1","Rutgers University-Livingston Campus CDP","Edison township",0.186356633875062,"3465260","3402320230"
"157.1","Kingston CDP","South Brunswick township",0.249119366466845,"3436930","3402368790"
"128.1","Grenloch CDP","Washington township",0.459962650176806,"3428380","3401577180"
"285.1","Richwood CDP","Mantua township",0.0944832081221942,"3462820","3401543440"
"166.1","Landing CDP","Roxbury township",0.999643321233706,"3438700","3402764980"
"186.1","Lower Berkshire Valley CDP","Roxbury township",0.974625032374892,"3441700","3402764980"
"239.1","Ocean Acres CDP","Stafford township",0.640085595814923,"3454315","3402970320"
"131","Hainesburg CDP","Knowlton township",0.749074734971875,"3428920","3404137320"
"131.1","Hainesburg CDP","Blairstown township",0.250925265027926,"3428920","3404106160"
"153.1","Kean University CDP","Hillside township",0.0519197405881285,"3436484","3403931980"
"161.1","Lake Mohawk CDP","Byram township",0.240562435311075,"3438040","3403709160"
"342.1","Upper Greenwood Lake CDP","Vernon township",0.082051017691167,"3474930","3403775740"
