"","PROPERTY_ID","PROPERTY_NAME","ADDRESS","CITY","TYPE","INSPECTIONS","MEAN_SCORE","MEDIAN_SCORE","MOST_RECENT_INSPECTION","OLDEST_INSPECTION","INSPECTION_INTERVAL"
"1","800013923","Acacia-Lumberton Manor","423 E Landing St","Lumberton","Multifamily",3,92,94,2010-09-21,2002-10-21,6.66666666666667
"2","800013923","Acacia-Lumberton Manor","423 Landing St","Lumberton","Multifamily",2,98,98,2019-05-09,2016-04-08,10
"3","800013926","Alexandria Group Home","1 Alexandria Dr","Manalapan","Multifamily",2,92.5,92.5,2018-04-06,2014-09-29,10
"4","800013926","Alexandria Group Home","Alexandria & Symmes Road","Manalapan","Multifamily",3,81.3333333333333,83,2007-09-28,2002-09-24,6.66666666666667
"5","800013939","Arlington Arms","750 Grand St","Jersey City","Multifamily",8,63.5,66.5,2018-09-20,2002-09-30,2.5
"6","800013939","Arlington Arms","752 Grand St","Jersey City","Multifamily",2,82,82,2014-06-04,2013-05-02,10
"7","800013942","Aspen Belmont B","399 Belmont Ave","Belleville","Multifamily",1,45,45,2017-10-24,2017-10-24,20
"8","800013942","Aspen Belmont B","399-400 Belmont Avenue","Newark","Multifamily",7,75.4285714285714,77,2013-09-24,2000-09-01,2.85714285714286
"9","800013942","Aspen Belmont B",,"Newark","Multifamily",1,67,67,2015-09-30,2015-09-30,20
"10","800013953","Audobon Park Apartments","112 Bergen Ave","Jersey City","Multifamily",10,73.6,72,2015-12-21,2001-07-27,2
"11","800013953","Audobon Park Apartments","135 Bergen Ave","Jersey City","Multifamily",1,78,78,2014-10-20,2014-10-20,20
"12","800013953","Audubon Park Apartments","112 Bergen Ave","Jersey City","Multifamily",1,82,82,2018-03-01,2018-03-01,20
"13","800013958","Bergerville Group Home","122 Bergerville Rd","Freehold","Multifamily",3,89.6666666666667,97,2018-12-06,2014-09-29,6.66666666666667
"14","800013958","Bergerville Group Home","86a Bergerville Rd","Freehold","Multifamily",3,94.3333333333333,94,2010-10-18,2002-09-25,6.66666666666667
"15","800013963","Burlington Manor Apts.","225 E Pearl St","Burlington","Multifamily",3,86.3333333333333,94,2010-12-15,2002-05-31,6.66666666666667
"16","800013963","Burlington Manor Apts.","225 Eastpearl Blvd","Burlington","Multifamily",1,94,94,2019-09-27,2019-09-27,20
"17","800013963","Burlington Manor Apts.",,"Burlington","Multifamily",1,93,93,2016-05-16,2016-05-16,20
"18","800013974","Belmont Apts A","393 Belmont Avenue","Newark","Multifamily",1,76,76,2013-10-18,2013-10-18,20
"19","800013974","Belmont Apts A","393-395 Belmont Avenue","Newark","Multifamily",7,61.5714285714286,69,2017-11-01,2002-10-10,2.85714285714286
"20","800013974","Belmont Apts A",,"Newark","Multifamily",1,81,81,2015-03-19,2015-03-19,20
"21","800013975","Bentley Woods","Higgins & Rossevelt Drive","Glassboro","Multifamily",6,78.6666666666667,78.5,2010-01-08,2000-10-18,3.33333333333333
