,CENSUS2010,count,name,county,total_units,total_pct_occupied,total_occupied,total_pct_reported,total_reported,total_months_since_report,total_people_reporting,total_people_per_unit,total_rent_per_month,total_spending_per_month,total_hh_income,total_person_income,total_pct_lt5k,total_pct_5k_lt10k,total_pct_10k_lt15k,total_pct_15k_lt20k,total_pct_ge20k,total_pct_wage_major,total_pct_welfare_major,total_pct_other_major,total_pct_median,total_pct_lt50_median,total_pct_lt30_median,total_pct_2adults,total_pct_1adult,total_pct_female_head,total_pct_female_head_child,total_pct_disabled_lt62,total_pct_disabled_ge62,total_pct_disabled_all,total_pct_lt24_head,total_pct_age25_50,total_pct_age51_61,total_pct_age62plus,total_pct_age85plus,total_pct_minority,total_pct_black_nonhsp,total_pct_native_american_nonhsp,total_pct_asian_pacific_nonhsp,total_pct_white_nothsp,total_pct_black_hsp,total_pct_wht_hsp,total_pct_oth_hsp,total_pct_hispanic,total_pct_multi,total_months_waiting,total_months_from_movein,total_pct_utility_allow,total_pct_lt5kave_util_allow,pg2_units,pg2_pct_occupied,pg2_occupied_units,pg2_pct_reported,pg2_reported_units,pg2_months_since_report,pg2_people_reporting,pg2_people_per_unit,pg2_rent_per_month,pg2_spending_per_month,pg2_hh_income,pg2_person_income,pg2_pct_lt5k,pg2_pct_5k_lt10k,pg2_pct_10k_lt15k,pg2_pct_15k_lt20k,pg2_pct_ge20k,pg2_pct_wage_major,pg2_pct_welfare_major,pg2_pct_other_major,pg2_pct_median,pg2_pct_lt50_median,pg2_pct_lt30_median,pg2_pct_2adults,pg2_pct_1adult,pg2_pct_female_head,pg2_pct_female_head_child,pg2_pct_disabled_lt62,pg2_pct_disabled_ge62,pg2_pct_disabled_all,pg2_pct_lt24_head,pg2_pct_age25_50,pg2_pct_age51_61,pg2_pct_age62plus,pg2_pct_age85plus,pg2_pct_minority,pg2_pct_black_nonhsp,pg2_pct_native_american_nonhsp,pg2_pct_asian_pacific_nonhsp,pg2_pct_white_nothsp,pg2_pct_black_hsp,pg2_pct_wht_hsp,pg2_pct_oth_hsp,pg2_pct_hispanic,pg2_pct_multi,pg2_months_waiting,pg2_months_from_movein,pg2_pct_utility_allow,pg2_pct_lt5kave_util_allow,pg2_pct_bed1,pg2_pct_bed2,pg2_pct_bed3,pg2_pct_overhoused,pg2_tpoverty,pg2_tminority,pg2_tpct_ownsfd,pg3_units,pg3_pct_occupied,pg3_occupied_units,pg3_pct_reported,pg3_reported_units,pg3_months_since_report,pg3_people_reporting,pg3_people_per_unit,pg3_rent_per_month,pg3_spending_per_month,pg3_hh_income,pg3_person_income,pg3_pct_lt5k,pg3_pct_5k_lt10k,pg3_pct_10k_lt15k,pg3_pct_15k_lt20k,pg3_pct_ge20k,pg3_pct_wage_major,pg3_pct_welfare_major,pg3_pct_other_major,pg3_pct_median,pg3_pct_lt50_median,pg3_pct_lt30_median,pg3_pct_2adults,pg3_pct_1adult,pg3_pct_female_head,pg3_pct_female_head_child,pg3_pct_disabled_lt62,pg3_pct_disabled_ge62,pg3_pct_disabled_all,pg3_pct_lt24_head,pg3_pct_age25_50,pg3_pct_age51_61,pg3_pct_age62plus,pg3_pct_age85plus,pg3_pct_minority,pg3_pct_black_nonhsp,pg3_pct_native_american_nonhsp,pg3_pct_asian_pacific_nonhsp,pg3_pct_white_nothsp,pg3_pct_black_hsp,pg3_pct_wht_hsp,pg3_pct_oth_hsp,pg3_pct_hispanic,pg3_pct_multi,pg3_months_waiting,pg3_months_from_movein,pg3_pct_utility_allow,pg3_pct_lt5kave_util_allow,pg4_units,pg4_pct_occupied,pg4_occupied_units,pg4_pct_reported,pg4_reported_units,pg4_months_since_report,pg4_people_reporting,pg4_people_per_unit,pg4_rent_per_month,pg4_spending_per_month,pg4_hh_income,pg4_person_income,pg4_pct_lt5k,pg4_pct_5k_lt10k,pg4_pct_10k_lt15k,pg4_pct_15k_lt20k,pg4_pct_ge20k,pg4_pct_wage_major,pg4_pct_welfare_major,pg4_pct_other_major,pg4_pct_median,pg4_pct_lt50_median,pg4_pct_lt30_median,pg4_pct_2adults,pg4_pct_1adult,pg4_pct_female_head,pg4_pct_female_head_child,pg4_pct_disabled_lt62,pg4_pct_disabled_ge62,pg4_pct_disabled_all,pg4_pct_lt24_head,pg4_pct_age25_50,pg4_pct_age51_61,pg4_pct_age62plus,pg4_pct_age85plus,pg4_pct_minority,pg4_pct_black_nonhsp,pg4_pct_native_american_nonhsp,pg4_pct_asian_pacific_nonhsp,pg4_pct_white_nothsp,pg4_pct_black_hsp,pg4_pct_wht_hsp,pg4_pct_oth_hsp,pg4_pct_hispanic,pg4_pct_multi,pg4_months_waiting,pg4_months_from_movein,pg4_pct_utility_allow,pg4_pct_lt5kave_util_allow,pg5_units,pg5_pct_occupied,pg5_occupied_units,pg5_pct_reported,pg5_reported_units,pg5_months_since_report,pg5_people_reporting,pg5_people_per_unit,pg5_rent_per_month,pg5_spending_per_month,pg5_hh_income,pg5_person_income,pg5_pct_lt5k,pg5_pct_5k_lt10k,pg5_pct_10k_lt15k,pg5_pct_15k_lt20k,pg5_pct_ge20k,pg5_pct_wage_major,pg5_pct_welfare_major,pg5_pct_other_major,pg5_pct_median,pg5_pct_lt50_median,pg5_pct_lt30_median,pg5_pct_2adults,pg5_pct_1adult,pg5_pct_female_head,pg5_pct_female_head_child,pg5_pct_disabled_lt62,pg5_pct_disabled_ge62,pg5_pct_disabled_all,pg5_pct_lt24_head,pg5_pct_age25_50,pg5_pct_age51_61,pg5_pct_age62plus,pg5_pct_age85plus,pg5_pct_minority,pg5_pct_black_nonhsp,pg5_pct_native_american_nonhsp,pg5_pct_asian_pacific_nonhsp,pg5_pct_white_nothsp,pg5_pct_black_hsp,pg5_pct_wht_hsp,pg5_pct_oth_hsp,pg5_pct_hispanic,pg5_pct_multi,pg5_months_waiting,pg5_months_from_movein,pg5_pct_utility_allow,pg5_pct_lt5kave_util_allow,pg7_units,pg7_reported,pg7_pct_reported,pg8_units,pg8_pct_occupied,pg8_occupied_units,pg8_pct_reported,pg8_reported_units,pg8_months_since_report,pg8_people_reporting,pg8_people_per_unit,pg8_rent_per_month,pg8_spending_per_month,pg8_hh_income,pg8_person_income,pg8_pct_lt5k,pg8_pct_5k_lt10k,pg8_pct_10k_lt15k,pg8_pct_15k_lt20k,pg8_pct_ge20k,pg8_pct_wage_major,pg8_pct_welfare_major,pg8_pct_other_major,pg8_pct_median,pg8_pct_lt50_median,pg8_pct_lt30_median,pg8_pct_2adults,pg8_pct_1adult,pg8_pct_female_head,pg8_pct_female_head_child,pg8_pct_disabled_lt62,pg8_pct_disabled_ge62,pg8_pct_disabled_all,pg8_pct_lt24_head,pg8_pct_age25_50,pg8_pct_age51_61,pg8_pct_age62plus,pg8_pct_age85plus,pg8_pct_minority,pg8_pct_black_nonhsp,pg8_pct_native_american_nonhsp,pg8_pct_asian_pacific_nonhsp,pg8_pct_white_nothsp,pg8_pct_black_hsp,pg8_pct_wht_hsp,pg8_pct_oth_hsp,pg8_pct_hispanic,pg8_pct_multi,pg8_months_waiting,pg8_months_from_movein,pg8_pct_utility_allow,pg8_pct_lt5kave_util_allow,pg9_units,pg9_pct_occupied,pg9_occupied_units,pg9_pct_reported,pg9_reported_units,pg9_months_since_report,pg9_people_reporting,pg9_people_per_unit,pg9_rent_per_month,pg9_spending_per_month,pg9_hh_income,pg9_person_income,pg9_pct_lt5k,pg9_pct_5k_lt10k,pg9_pct_10k_lt15k,pg9_pct_15k_lt20k,pg9_pct_ge20k,pg9_pct_wage_major,pg9_pct_welfare_major,pg9_pct_other_major,pg9_pct_median,pg9_pct_lt50_median,pg9_pct_lt30_median,pg9_pct_2adults,pg9_pct_1adult,pg9_pct_female_head,pg9_pct_female_head_child,pg9_pct_disabled_lt62,pg9_pct_disabled_ge62,pg9_pct_disabled_all,pg9_pct_lt24_head,pg9_pct_age25_50,pg9_pct_age51_61,pg9_pct_age62plus,pg9_pct_age85plus,pg9_pct_minority,pg9_pct_black_nonhsp,pg9_pct_native_american_nonhsp,pg9_pct_asian_pacific_nonhsp,pg9_pct_white_nothsp,pg9_pct_black_hsp,pg9_pct_wht_hsp,pg9_pct_oth_hsp,pg9_pct_hispanic,pg9_pct_multi,pg9_months_waiting,pg9_months_from_movein,pg9_pct_utility_allow,pg9_pct_lt5kave_util_allow,GISJOIN,GISJOIN2
1,3400100100,1,Absecon City,Atlantic,95,85,80.75,89.47368421,85,6,177,2.082352941,451,791,18122,8703,5,10,33,16,37,24,2,71,27,94,62,1,40,89,39,40,80,28,1,53,22,24,1,78,66,0,0,22,1,9,1,12,1,21,124,79,144,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,0.82,63.96,104.7529706,67,6,159,2.373134328,480,910,19210,8095,6,13,23,13,45,28,3,64,28,93,55,1,51,91,49,33,60,20,1,61,22,15,1,90,75,0,0,10,1,12,1,15,1,21,132,99,145,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.95,15.2,105.2631579,16,7,16,1,323,317,13320,13320,0,0,69,31,0,0,0,100,23,100,94,0,0,88,0,100,100,100,0,19,19,63,0,31,31,0,0,69,0,0,0,0,0,0,82,0,0,G3400100100,G340001000100
2,3400102080,1,Atlantic City,Atlantic,4748,91,4320.68,88.39511373,4197,7,7328,1.746009054,337,923,14334,8209,7,23,33,14,23,17,2,74,22,95,77,1,27,68,26,34,41,24,3,36,19,42,3,87,61,1,4,12,3,10,9,21,1,30,116,66,112,1474,94,1385.56,94.76312827,1313,8,2050,1.561309977,312,951,13651,8744,6,28,35,14,17,13,1,78,22,95,81,1,16,61,16,59,72,44,1,30,30,40,2,87,73,1,2,13,3,7,2,12,1,31,124,34,136,68,20,12,6,36,86,10,1319,0.82,1081.58,95.87825219,1037,7,2076,2.00192864,387,816,15831,7908,7,20,28,15,30,22,3,69,24,94,70,1,34,74,32,27,53,22,2,43,20,36,3,80,64,0,3,20,2,9,2,13,1,30,97,70,139,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953,0.95,1855.35,99.49605196,1846,7,3201,1.734019502,326,965,13985,8065,8,22,35,13,23,18,2,74,22,96,78,1,31,70,30,19,17,12,4,37,12,47,4,90,50,1,6,7,3,12,17,32,1,0,122,86,93,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400102080,G340001002080
3,3400107810,1,Brigantine City,Atlantic,20,87,17.4,90,18,6,36,2,459,927,19060,9530,6,17,33,11,33,28,0,72,28,89,67,0,22,67,22,45,71,36,0,28,33,39,6,50,28,0,0,50,6,17,0,22,0,33,136,94,128,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.87,17.4,103.4482759,18,6,36,2,459,927,19060,9530,6,17,33,11,33,28,0,72,28,89,67,0,22,67,22,45,71,36,0,28,33,39,6,50,28,0,0,50,6,17,0,22,0,33,136,94,128,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400107810,G340001007810
4,3400108680,1,Buena Borough,Atlantic,83,104,86.32,106.0240964,88,8,119,1.352272727,384,771,16833,12448,0,14,40,22,25,9,0,91,28,92,68,2,7,75,9,71,55,50,1,19,19,60,7,45,6,0,0,55,2,34,3,40,0,18,86,100,79,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,1.04,86.32,101.9462465,88,8,119,1.352272727,384,771,16833,12448,0,14,40,22,25,9,0,91,28,92,68,2,7,75,9,71,55,50,1,19,19,60,7,45,6,0,0,55,2,34,3,40,0,18,86,100,79,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400108680,G340001008680
5,3400108710,1,Buena Vista Township,Atlantic,15,94,14.1,100,15,7,41,2.733333333,617,948,22850,8360,7,7,20,27,40,47,0,53,32,80,53,0,53,93,53,17,67,17,0,47,33,20,0,73,53,7,0,27,0,13,0,13,0,31,183,100,177,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.94,14.1,106.3829787,15,7,41,2.733333333,617,948,22850,8360,7,7,20,27,40,47,0,53,32,80,53,0,53,93,53,17,67,17,0,47,33,20,0,73,53,7,0,27,0,13,0,13,0,31,183,100,177,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400108710,G340001008710
6,3400120350,1,Egg Harbor City,Atlantic,186,94,174.84,96.23655914,179,6,420,2.346368715,394,980,16031,6832,6,21,19,18,36,28,3,55,23,93,69,3,50,80,46,22,49,17,5,55,18,22,2,88,45,0,1,11,3,19,21,42,2,47,144,99,129,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.87,47.85,100.3134796,48,6,125,2.604166667,479,908,17955,6895,13,15,23,13,36,15,2,79,25,94,65,2,46,79,44,34,77,26,2,54,17,27,4,75,52,0,2,25,6,10,4,21,4,47,109,96,148,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,0.97,127.07,103.0927835,131,6,295,2.251908397,362,1006,15325,6806,3,24,17,20,36,34,3,46,22,92,70,3,51,81,47,17,36,13,6,55,18,21,2,93,43,0,0,5,2,22,27,50,1,0,157,100,122,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400120350,G340001020350
7,3400120290,1,Egg Harbor Township,Atlantic,251,93,233.43,94.82071713,238,6,521,2.18907563,434,900,17804,8133,8,11,27,21,34,33,2,63,26,92,69,2,45,86,45,30,62,21,1,53,20,26,1,69,44,0,0,30,3,11,11,24,0,24,112,30,173,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,0.87,92.22,104.0988939,96,6,267,2.78125,438,935,17737,6377,9,12,23,19,38,35,1,60,25,95,70,2,63,95,61,32,83,21,0,65,23,13,1,81,58,0,0,19,3,19,1,23,1,24,100,75,173,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.97,116.4,101.3745704,118,6,230,1.949152542,459,986,18970,9733,8,11,21,22,37,37,3,58,28,87,62,3,39,89,40,17,45,13,2,49,15,34,2,69,37,1,1,29,4,6,20,31,0,0,131,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.97,24.25,98.96907216,24,6,24,1,298,355,12343,12343,0,8,71,21,0,0,0,100,21,100,100,0,0,38,0,100,100,100,0,25,29,46,0,21,21,0,0,79,0,0,0,0,0,0,65,0,0,G3400120290,G340001020290
8,3400123940,1,Folsom Borough,Atlantic,5,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400123940,G340001023940
9,3400125560,3,Galloway Township,Atlantic,291,86.61512027,252.05,89.34707904,260,6.423076923,507,1.95,425.1923077,772.9615385,17734.5,9713.846154,5.057692308,10.44230769,29.21153846,21.42307692,33.48076923,21.61538462,1.423076923,74.25,26.80769231,94.03846154,63.63461538,0.519230769,32.88461538,83.5,32.88461538,36.63461538,50.59615385,16.73076923,0.903846154,42.46153846,13.57692308,43.57692308,7.826923077,63.73076923,53.28846154,1.153846154,1.153846154,32.42307692,0.903846154,6.326923077,0.903846154,8.653846154,2.192307692,29.5,104.3269231,90.67307692,147.0576923,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,0.811443299,157.42,106.7208741,168,5.851190476,411,2.446428571,468.5,917.1666667,19044.16071,7794.422619,7.077380952,13.97619048,20.95238095,15.5297619,41.74404762,33.71428571,2.035714286,61.0952381,26.83333333,90.16666667,61.44642857,0.720238095,50.33928571,84.64880952,50.33928571,23.7797619,74.55357143,18.52380952,1.31547619,63.20238095,16.67857143,18.80357143,3.869047619,83.66666667,72.11309524,1.25,0,16.33333333,1.31547619,6.952380952,2.035714286,10.30357143,3.273809524,28.5952381,112.5654762,93.95833333,179.6845238,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,83,0.96,79.68,97.89156627,78,6,82,1.051282051,358,550,16005,15224,0,4,40,35,22,0,0,100,27,100,62,0,0,82,0,0,0,0,0,0,0,100,19,27,15,1,4,60,0,6,0,6,0,0,88,100,72,14,0.99,13.86,101.010101,14,8,14,1,282,347,11654,11654,8,0,69,23,0,0,7,86,20,100,100,0,0,79,0,100,100,100,0,29,50,21,0,36,36,0,0,64,0,0,0,0,0,0,94,0,0,G3400125560,G340001025560
10,3400129280,11,Hamilton Township ,Atlantic,318,84.2327044,267.86,86.47798742,275,6.04,795,2.890909091,510.8363636,841.4545455,20656.74182,7465.036364,7.116363636,9.28,23.17818182,13.04727273,47.33818182,39.49454545,1.396363636,54.92727273,28.00363636,90.38545455,60.76,2.341818182,58.90545455,88.62909091,58.75636364,27.90181818,83.24363636,18.21454545,1.178181818,68.00727273,19.82181818,11.16363636,0,81.60363636,68.09090909,0.436363636,0.476363636,17.86545455,1.429090909,10.06909091,1.538181818,12.56,0.476363636,34.2,129.9090909,90.72,183.8727273,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,0.812020906,233.05,104.6985625,244,6.237704918,746,3.057377049,529.6557377,914.3114754,21406.9918,7218.180328,7.483606557,9.631147541,21.36885246,10.07377049,51.44262295,42.68032787,1.729508197,51.08196721,28.54918033,88.90163934,58.56557377,2.557377049,64.90983607,93.59016393,64.95081967,20.96721311,80,14.33606557,1.483606557,70.63114754,17.7704918,9.598360656,0,87.72131148,73.04918033,0.491803279,0.516393443,12.27868852,1.549180328,10.63114754,1.483606557,13.66393443,0.516393443,36.59836066,135.3442623,100,182.7868852,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.567741935,17.6,85.22727273,15,6,15,1,345,148,14202,14202,0,13,47,33,7,7,0,93,24,100,87,0,0,47,0,100,100,100,0,47,27,27,0,13,13,0,0,73,0,0,0,0,0,0,42,0,0,,
