,CENSUS2010,count,name,county,total_units,total_pct_occupied,total_occupied,total_pct_reported,total_reported,total_months_since_report,total_people_reporting,total_people_per_unit,total_rent_per_month,total_spending_per_month,total_hh_income,total_person_income,total_pct_lt5k,total_pct_5k_lt10k,total_pct_10k_lt15k,total_pct_15k_lt20k,total_pct_ge20k,total_pct_wage_major,total_pct_welfare_major,total_pct_other_major,total_pct_median,total_pct_lt50_median,total_pct_lt30_median,total_pct_2adults,total_pct_1adult,total_pct_female_head,total_pct_female_head_child,total_pct_disabled_lt62,total_pct_disabled_ge62,total_pct_disabled_all,total_pct_lt24_head,total_pct_age25_50,total_pct_age51_61,total_pct_age62plus,total_pct_age85plus,total_pct_minority,total_pct_black_nonhsp,total_pct_native_american_nonhsp,total_pct_asian_pacific_nonhsp,total_pct_white_nothsp,total_pct_black_hsp,total_pct_wht_hsp,total_pct_oth_hsp,total_pct_hispanic,total_pct_multi,total_months_waiting,total_months_from_movein,total_pct_utility_allow,total_pct_lt5kave_util_allow,pg2_units,pg2_pct_occupied,pg2_occupied_units,pg2_pct_reported,pg2_reported_units,pg2_months_since_report,pg2_people_reporting,pg2_people_per_unit,pg2_rent_per_month,pg2_spending_per_month,pg2_hh_income,pg2_person_income,pg2_pct_lt5k,pg2_pct_5k_lt10k,pg2_pct_10k_lt15k,pg2_pct_15k_lt20k,pg2_pct_ge20k,pg2_pct_wage_major,pg2_pct_welfare_major,pg2_pct_other_major,pg2_pct_median,pg2_pct_lt50_median,pg2_pct_lt30_median,pg2_pct_2adults,pg2_pct_1adult,pg2_pct_female_head,pg2_pct_female_head_child,pg2_pct_disabled_lt62,pg2_pct_disabled_ge62,pg2_pct_disabled_all,pg2_pct_lt24_head,pg2_pct_age25_50,pg2_pct_age51_61,pg2_pct_age62plus,pg2_pct_age85plus,pg2_pct_minority,pg2_pct_black_nonhsp,pg2_pct_native_american_nonhsp,pg2_pct_asian_pacific_nonhsp,pg2_pct_white_nothsp,pg2_pct_black_hsp,pg2_pct_wht_hsp,pg2_pct_oth_hsp,pg2_pct_hispanic,pg2_pct_multi,pg2_months_waiting,pg2_months_from_movein,pg2_pct_utility_allow,pg2_pct_lt5kave_util_allow,pg2_pct_bed1,pg2_pct_bed2,pg2_pct_bed3,pg2_pct_overhoused,pg2_tpoverty,pg2_tminority,pg2_tpct_ownsfd,pg3_units,pg3_pct_occupied,pg3_occupied_units,pg3_pct_reported,pg3_reported_units,pg3_months_since_report,pg3_people_reporting,pg3_people_per_unit,pg3_rent_per_month,pg3_spending_per_month,pg3_hh_income,pg3_person_income,pg3_pct_lt5k,pg3_pct_5k_lt10k,pg3_pct_10k_lt15k,pg3_pct_15k_lt20k,pg3_pct_ge20k,pg3_pct_wage_major,pg3_pct_welfare_major,pg3_pct_other_major,pg3_pct_median,pg3_pct_lt50_median,pg3_pct_lt30_median,pg3_pct_2adults,pg3_pct_1adult,pg3_pct_female_head,pg3_pct_female_head_child,pg3_pct_disabled_lt62,pg3_pct_disabled_ge62,pg3_pct_disabled_all,pg3_pct_lt24_head,pg3_pct_age25_50,pg3_pct_age51_61,pg3_pct_age62plus,pg3_pct_age85plus,pg3_pct_minority,pg3_pct_black_nonhsp,pg3_pct_native_american_nonhsp,pg3_pct_asian_pacific_nonhsp,pg3_pct_white_nothsp,pg3_pct_black_hsp,pg3_pct_wht_hsp,pg3_pct_oth_hsp,pg3_pct_hispanic,pg3_pct_multi,pg3_months_waiting,pg3_months_from_movein,pg3_pct_utility_allow,pg3_pct_lt5kave_util_allow,pg4_units,pg4_pct_occupied,pg4_occupied_units,pg4_pct_reported,pg4_reported_units,pg4_months_since_report,pg4_people_reporting,pg4_people_per_unit,pg4_rent_per_month,pg4_spending_per_month,pg4_hh_income,pg4_person_income,pg4_pct_lt5k,pg4_pct_5k_lt10k,pg4_pct_10k_lt15k,pg4_pct_15k_lt20k,pg4_pct_ge20k,pg4_pct_wage_major,pg4_pct_welfare_major,pg4_pct_other_major,pg4_pct_median,pg4_pct_lt50_median,pg4_pct_lt30_median,pg4_pct_2adults,pg4_pct_1adult,pg4_pct_female_head,pg4_pct_female_head_child,pg4_pct_disabled_lt62,pg4_pct_disabled_ge62,pg4_pct_disabled_all,pg4_pct_lt24_head,pg4_pct_age25_50,pg4_pct_age51_61,pg4_pct_age62plus,pg4_pct_age85plus,pg4_pct_minority,pg4_pct_black_nonhsp,pg4_pct_native_american_nonhsp,pg4_pct_asian_pacific_nonhsp,pg4_pct_white_nothsp,pg4_pct_black_hsp,pg4_pct_wht_hsp,pg4_pct_oth_hsp,pg4_pct_hispanic,pg4_pct_multi,pg4_months_waiting,pg4_months_from_movein,pg4_pct_utility_allow,pg4_pct_lt5kave_util_allow,pg5_units,pg5_pct_occupied,pg5_occupied_units,pg5_pct_reported,pg5_reported_units,pg5_months_since_report,pg5_people_reporting,pg5_people_per_unit,pg5_rent_per_month,pg5_spending_per_month,pg5_hh_income,pg5_person_income,pg5_pct_lt5k,pg5_pct_5k_lt10k,pg5_pct_10k_lt15k,pg5_pct_15k_lt20k,pg5_pct_ge20k,pg5_pct_wage_major,pg5_pct_welfare_major,pg5_pct_other_major,pg5_pct_median,pg5_pct_lt50_median,pg5_pct_lt30_median,pg5_pct_2adults,pg5_pct_1adult,pg5_pct_female_head,pg5_pct_female_head_child,pg5_pct_disabled_lt62,pg5_pct_disabled_ge62,pg5_pct_disabled_all,pg5_pct_lt24_head,pg5_pct_age25_50,pg5_pct_age51_61,pg5_pct_age62plus,pg5_pct_age85plus,pg5_pct_minority,pg5_pct_black_nonhsp,pg5_pct_native_american_nonhsp,pg5_pct_asian_pacific_nonhsp,pg5_pct_white_nothsp,pg5_pct_black_hsp,pg5_pct_wht_hsp,pg5_pct_oth_hsp,pg5_pct_hispanic,pg5_pct_multi,pg5_months_waiting,pg5_months_from_movein,pg5_pct_utility_allow,pg5_pct_lt5kave_util_allow,pg7_units,pg7_reported,pg7_pct_reported,pg8_units,pg8_pct_occupied,pg8_occupied_units,pg8_pct_reported,pg8_reported_units,pg8_months_since_report,pg8_people_reporting,pg8_people_per_unit,pg8_rent_per_month,pg8_spending_per_month,pg8_hh_income,pg8_person_income,pg8_pct_lt5k,pg8_pct_5k_lt10k,pg8_pct_10k_lt15k,pg8_pct_15k_lt20k,pg8_pct_ge20k,pg8_pct_wage_major,pg8_pct_welfare_major,pg8_pct_other_major,pg8_pct_median,pg8_pct_lt50_median,pg8_pct_lt30_median,pg8_pct_2adults,pg8_pct_1adult,pg8_pct_female_head,pg8_pct_female_head_child,pg8_pct_disabled_lt62,pg8_pct_disabled_ge62,pg8_pct_disabled_all,pg8_pct_lt24_head,pg8_pct_age25_50,pg8_pct_age51_61,pg8_pct_age62plus,pg8_pct_age85plus,pg8_pct_minority,pg8_pct_black_nonhsp,pg8_pct_native_american_nonhsp,pg8_pct_asian_pacific_nonhsp,pg8_pct_white_nothsp,pg8_pct_black_hsp,pg8_pct_wht_hsp,pg8_pct_oth_hsp,pg8_pct_hispanic,pg8_pct_multi,pg8_months_waiting,pg8_months_from_movein,pg8_pct_utility_allow,pg8_pct_lt5kave_util_allow,pg9_units,pg9_pct_occupied,pg9_occupied_units,pg9_pct_reported,pg9_reported_units,pg9_months_since_report,pg9_people_reporting,pg9_people_per_unit,pg9_rent_per_month,pg9_spending_per_month,pg9_hh_income,pg9_person_income,pg9_pct_lt5k,pg9_pct_5k_lt10k,pg9_pct_10k_lt15k,pg9_pct_15k_lt20k,pg9_pct_ge20k,pg9_pct_wage_major,pg9_pct_welfare_major,pg9_pct_other_major,pg9_pct_median,pg9_pct_lt50_median,pg9_pct_lt30_median,pg9_pct_2adults,pg9_pct_1adult,pg9_pct_female_head,pg9_pct_female_head_child,pg9_pct_disabled_lt62,pg9_pct_disabled_ge62,pg9_pct_disabled_all,pg9_pct_lt24_head,pg9_pct_age25_50,pg9_pct_age51_61,pg9_pct_age62plus,pg9_pct_age85plus,pg9_pct_minority,pg9_pct_black_nonhsp,pg9_pct_native_american_nonhsp,pg9_pct_asian_pacific_nonhsp,pg9_pct_white_nothsp,pg9_pct_black_hsp,pg9_pct_wht_hsp,pg9_pct_oth_hsp,pg9_pct_hispanic,pg9_pct_multi,pg9_months_waiting,pg9_months_from_movein,pg9_pct_utility_allow,pg9_pct_lt5kave_util_allow
1,3400129280,4,Hamilton Township ,Atlantic,318,84.2327044,267.86,86.47798742,275,6.04,795,2.890909091,510.8363636,841.4545455,20656.74182,7465.036364,7.116363636,9.28,23.17818182,13.04727273,47.33818182,39.49454545,1.396363636,54.92727273,28.00363636,90.38545455,60.76,2.341818182,58.90545455,88.62909091,58.75636364,27.90181818,83.24363636,18.21454545,1.178181818,68.00727273,19.82181818,11.16363636,0,81.60363636,68.09090909,0.436363636,0.476363636,17.86545455,1.429090909,10.06909091,1.538181818,12.56,0.476363636,34.2,129.9090909,90.72,183.8727273,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,0.812020906,233.05,104.6985625,244,6.237704918,746,3.057377049,529.6557377,914.3114754,21406.9918,7218.180328,7.483606557,9.631147541,21.36885246,10.07377049,51.44262295,42.68032787,1.729508197,51.08196721,28.54918033,88.90163934,58.56557377,2.557377049,64.90983607,93.59016393,64.95081967,20.96721311,80,14.33606557,1.483606557,70.63114754,17.7704918,9.598360656,0,87.72131148,73.04918033,0.491803279,0.516393443,12.27868852,1.549180328,10.63114754,1.483606557,13.66393443,0.516393443,36.59836066,135.3442623,100,182.7868852,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.567741935,17.6,85.22727273,15,6,15,1,345,148,14202,14202,0,13,47,33,7,7,0,93,24,100,87,0,0,47,0,100,100,100,0,47,27,27,0,13,13,0,0,73,0,0,0,0,0,0,42,0,0
2,3400377135,2,Washington Township ,Bergen,3,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3401133120,1,Hopewell Township ,Cumberland,14,87,12.18,92.85714286,13,6,23,1.769230769,349,948,14466,8177,0,23,46,15,15,8,0,92,24,92,85,8,15,69,15,40,50,30,0,23,15,62,15,54,15,8,0,46,0,31,0,31,0,0,233,100,125,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.87,12.18,106.7323481,13,6,23,1.769230769,349,948,14466,8177,0,23,46,15,15,8,0,92,24,92,85,8,15,69,15,40,50,30,0,23,15,62,15,54,15,8,0,46,0,31,0,31,0,0,233,100,125,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3401139450,1,Lawrence Township ,Cumberland,7,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3401304695,8,Belleville Township ,Essex,139,81.71942446,113.59,83.45323741,116,6.431034483,224,1.931034483,409.2586207,980.7068966,16515.36207,8563.465517,8.672413793,21.96551724,31.74137931,9.534482759,27.98275862,26.93103448,1.603448276,69.56896552,19.10344828,97.32758621,85.01724138,1.068965517,28.46551724,83.81034483,29,36.56896552,76.68965517,33.4137931,0,37.77586207,33.74137931,28.48275862,6.051724138,81.65517241,29.48275862,0,0,18.34482759,2.879310345,47.56896552,2.551724138,52.81034483,1.068965517,59.96551724,161.2758621,70.44827586,88.36206897,21,96,20.16,99.20634921,20,8,23,1.15,238,1126,9783,8507,25,40,20,10,5,10,5,85,13,100,95,0,5,75,5,46,57,48,0,25,40,35,0,85,65,0,0,15,0,15,5,20,0,147,209,0,0,100,0,0,0,16,65,17,112,0.781785714,87.56,103.9287346,91,5.868131868,196,2.153846154,455.3076923,996.6593407,18313.36264,8549.615385,5.450549451,18.16483516,31.40659341,10.20879121,34.63736264,32.06593407,1.21978022,64.84615385,20.62637363,96.59340659,82.17582418,1.21978022,35.24175824,85.8021978,36.05494505,31.2967033,79.58241758,29.85714286,0,40.42857143,33.02197802,26.54945055,7.956043956,82.52747253,19.95604396,0,0,17.47252747,3.527472527,57.3956044,2.428571429,62.7032967,1.21978022,27.20879121,150.6043956,90.27472527,87.91208791,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3401306260,12,Bloomfield Township ,Essex,557,82.6481149,460.35,85.27827648,475,6.593684211,714,1.503157895,451.8926316,1035.953684,19369.21684,13557.48421,2.492631579,13.59578947,28.34315789,16.56,38.53473684,18.57263158,0.311578947,79.93263158,24.10105263,95.35368421,73.65684211,0.189473684,10.68210526,75.49684211,9.903157895,37.76421053,42.37684211,29.31789474,0.618947368,15.64421053,14.82526316,69.01473684,9.343157895,52.08210526,30.43368421,0,1.233684211,45.23157895,0,18.04,2.442105263,20.48210526,0,28.81052632,130.6,69.93263158,92.10105263,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,0.791155556,356.02,103.3649795,368,6.79076087,597,1.622282609,467.1331522,1010.766304,19628.40217,12947.99457,2.983695652,12.73913043,26.66032609,17.62771739,39.54076087,22.67663043,0.402173913,75.58423913,24.16032609,95.06521739,74.56521739,0.244565217,13.83967391,76.05978261,12.88315217,34.7826087,54.29347826,33.88315217,0.798913043,20.26630435,18.375,60.69293478,6.975543478,60.57065217,38.11141304,0,0.64673913,39.42934783,0,21.89945652,0,21.89945652,0,36.33152174,138.5298913,62.25,87.23097826,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0.9801,98.01,104.0710132,102,6,112,1.098039216,405,1168,18750,17076,1,16,33,13,37,5,0,95,25,96,69,0,0,74,0,100,5,7,0,0,2,98,18,23,2,0,4,66,0,5,12,17,0,0,99,100,110,0,0,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3401524840,4,Franklin Township ,Gloucester,23,53.56521739,12.32,56.52173913,13,5,39,3,575,902,23455,7818,0,8,15,23,54,38,8,54,27,100,69,8,62,92,69,33,100,21,0,77,15,8,0,62,38,0,0,38,0,23,0,23,0,30,167,100,201,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.56,12.32,105.5194805,13,5,39,3,575,902,23455,7818,0,8,15,23,54,38,8,54,27,100,69,8,62,92,69,33,100,21,0,77,15,8,0,62,38,0,0,38,0,23,0,23,0,30,167,100,201,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3401547250,6,Monroe Township ,Gloucester,315,85.61587302,269.69,84.12698413,265,6.966037736,471,1.777358491,391.3698113,743.0377358,16080.55472,9254.796226,2.935849057,23.60377358,30.77735849,17.72075472,25.65283019,12.45283019,2.490566038,83.5245283,21.43773585,97.50188679,82.06415094,0.452830189,27.28679245,76.45660377,25.17358491,63.08679245,81.61509434,46.4,1.252830189,30.93207547,31.56226415,36.02641509,2.732075472,50.79622642,42.95849057,0,0.573584906,49.20377358,0.79245283,6.630188679,0.573584906,7.422641509,0,51.51698113,115.5849057,98.73584906,117.1849057,114,89.40350877,101.92,97.13500785,99,7,111,1.121212121,329,539,13985,12473,0,26,43,18,13,4,1,93,21,98,87,0,2,71,2,89,79,76,0,2,35,63,3,39,31,0,2,61,0,5,1,6,0,57,94,100,78,96,0,4,2,3,25,78,201,0.744577114,149.66,99.5590004,149,6.362416107,318,2.134228188,429.3154362,883.7919463,17305.63087,8151.711409,4.10738255,22.36241611,23.10738255,17.73825503,32.96644295,16.69127517,4.134228188,78.53020134,21.8590604,97.1409396,79.2147651,0.724832215,41.70469799,78.30201342,37.70469799,52.06040268,82.37583893,35.47651007,2.161073826,46.54362416,29.55704698,21.37583893,2.536912752,59.56375839,51.08724832,0,0,40.43624161,1.409395973,7.348993289,0,8.758389262,0,24.5033557,125.5167785,98.72483221,133.6040268,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3401577180,11,Washington Township ,Gloucester,348,77.86781609,270.98,77.29885057,269,7.420074349,576,2.141263941,454.4163569,878.1710037,18510.66171,9165.089219,2.959107807,17.20446097,30.43866171,16.68401487,32.43494424,22,2.87732342,74.49814126,23.62825279,96.11524164,72.14498141,1.457249071,41.2267658,83.68773234,41.46096654,49.41635688,88,36.52416357,0.914498141,51.53159851,28.40892193,18.92565056,1.327137546,67.60223048,57.40892193,1.204460967,0,32.39776952,1.933085502,7.040892193,0,8.80669145,1.111524164,74.56877323,109.9516729,99.63568773,135.6208178,4,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.785261628,270.13,99.21149076,268,7.417910448,574,2.141791045,455.2276119,879.4179104,18541.99254,9177.283582,2.962686567,17.23880597,30.29850746,16.86567164,32.53731343,21.75,2.865671642,74.75746269,23.6119403,96.13059701,72.02985075,1.432835821,41.2761194,83.62686567,41.48134328,49.55970149,87.95522388,36.63059701,0.917910448,51.23134328,28.64925373,18.98134328,1.332089552,67.73507463,57.71641791,1.208955224,0,32.26492537,1.925373134,7.052238806,0,8.809701493,1.108208955,74.51119403,110.011194,99.64179104,134.8507463,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3401924870,1,Franklin Township ,Hunterdon,5,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
