"","GISJOIN","count","name","county","total_units","total_pct_occupied","total_occupied","total_pct_reported","total_reported","total_months_since_report","total_people_reporting","total_people_per_unit","total_rent_per_month","total_spending_per_month","total_hh_income","total_person_income","total_pct_lt5k","total_pct_5k_lt10k","total_pct_10k_lt15k","total_pct_15k_lt20k","total_pct_ge20k","total_pct_wage_major","total_pct_welfare_major","total_pct_other_major","total_pct_median","total_pct_lt50_median","total_pct_lt30_median","total_pct_2adults","total_pct_1adult","total_pct_female_head","total_pct_female_head_child","total_pct_disabled_lt62","total_pct_disabled_ge62","total_pct_disabled_all","total_pct_lt24_head","total_pct_age25_50","total_pct_age51_61","total_pct_age62plus","total_pct_age85plus","total_pct_minority","total_pct_black_nonhsp","total_pct_native_american_nonhsp","total_pct_asian_pacific_nonhsp","total_pct_white_nothsp","total_pct_black_hsp","total_pct_wht_hsp","total_pct_oth_hsp","total_pct_hispanic","total_pct_multi","total_months_waiting","total_months_from_movein","total_pct_utility_allow","total_pct_lt5kave_util_allow","pg2_units","pg2_pct_occupied","pg2_occupied_units","pg2_pct_reported","pg2_reported_units","pg2_months_since_report","pg2_people_reporting","pg2_people_per_unit","pg2_rent_per_month","pg2_spending_per_month","pg2_hh_income","pg2_person_income","pg2_pct_lt5k","pg2_pct_5k_lt10k","pg2_pct_10k_lt15k","pg2_pct_15k_lt20k","pg2_pct_ge20k","pg2_pct_wage_major","pg2_pct_welfare_major","pg2_pct_other_major","pg2_pct_median","pg2_pct_lt50_median","pg2_pct_lt30_median","pg2_pct_2adults","pg2_pct_1adult","pg2_pct_female_head","pg2_pct_female_head_child","pg2_pct_disabled_lt62","pg2_pct_disabled_ge62","pg2_pct_disabled_all","pg2_pct_lt24_head","pg2_pct_age25_50","pg2_pct_age51_61","pg2_pct_age62plus","pg2_pct_age85plus","pg2_pct_minority","pg2_pct_black_nonhsp","pg2_pct_native_american_nonhsp","pg2_pct_asian_pacific_nonhsp","pg2_pct_white_nothsp","pg2_pct_black_hsp","pg2_pct_wht_hsp","pg2_pct_oth_hsp","pg2_pct_hispanic","pg2_pct_multi","pg2_months_waiting","pg2_months_from_movein","pg2_pct_utility_allow","pg2_pct_lt5kave_util_allow","pg2_pct_bed1","pg2_pct_bed2","pg2_pct_bed3","pg2_pct_overhoused","pg2_tpoverty","pg2_tminority","pg2_tpct_ownsfd","pg3_units","pg3_pct_occupied","pg3_occupied_units","pg3_pct_reported","pg3_reported_units","pg3_months_since_report","pg3_people_reporting","pg3_people_per_unit","pg3_rent_per_month","pg3_spending_per_month","pg3_hh_income","pg3_person_income","pg3_pct_lt5k","pg3_pct_5k_lt10k","pg3_pct_10k_lt15k","pg3_pct_15k_lt20k","pg3_pct_ge20k","pg3_pct_wage_major","pg3_pct_welfare_major","pg3_pct_other_major","pg3_pct_median","pg3_pct_lt50_median","pg3_pct_lt30_median","pg3_pct_2adults","pg3_pct_1adult","pg3_pct_female_head","pg3_pct_female_head_child","pg3_pct_disabled_lt62","pg3_pct_disabled_ge62","pg3_pct_disabled_all","pg3_pct_lt24_head","pg3_pct_age25_50","pg3_pct_age51_61","pg3_pct_age62plus","pg3_pct_age85plus","pg3_pct_minority","pg3_pct_black_nonhsp","pg3_pct_native_american_nonhsp","pg3_pct_asian_pacific_nonhsp","pg3_pct_white_nothsp","pg3_pct_black_hsp","pg3_pct_wht_hsp","pg3_pct_oth_hsp","pg3_pct_hispanic","pg3_pct_multi","pg3_months_waiting","pg3_months_from_movein","pg3_pct_utility_allow","pg3_pct_lt5kave_util_allow","pg4_units","pg4_pct_occupied","pg4_occupied_units","pg4_pct_reported","pg4_reported_units","pg4_months_since_report","pg4_people_reporting","pg4_people_per_unit","pg4_rent_per_month","pg4_spending_per_month","pg4_hh_income","pg4_person_income","pg4_pct_lt5k","pg4_pct_5k_lt10k","pg4_pct_10k_lt15k","pg4_pct_15k_lt20k","pg4_pct_ge20k","pg4_pct_wage_major","pg4_pct_welfare_major","pg4_pct_other_major","pg4_pct_median","pg4_pct_lt50_median","pg4_pct_lt30_median","pg4_pct_2adults","pg4_pct_1adult","pg4_pct_female_head","pg4_pct_female_head_child","pg4_pct_disabled_lt62","pg4_pct_disabled_ge62","pg4_pct_disabled_all","pg4_pct_lt24_head","pg4_pct_age25_50","pg4_pct_age51_61","pg4_pct_age62plus","pg4_pct_age85plus","pg4_pct_minority","pg4_pct_black_nonhsp","pg4_pct_native_american_nonhsp","pg4_pct_asian_pacific_nonhsp","pg4_pct_white_nothsp","pg4_pct_black_hsp","pg4_pct_wht_hsp","pg4_pct_oth_hsp","pg4_pct_hispanic","pg4_pct_multi","pg4_months_waiting","pg4_months_from_movein","pg4_pct_utility_allow","pg4_pct_lt5kave_util_allow","pg5_units","pg5_pct_occupied","pg5_occupied_units","pg5_pct_reported","pg5_reported_units","pg5_months_since_report","pg5_people_reporting","pg5_people_per_unit","pg5_rent_per_month","pg5_spending_per_month","pg5_hh_income","pg5_person_income","pg5_pct_lt5k","pg5_pct_5k_lt10k","pg5_pct_10k_lt15k","pg5_pct_15k_lt20k","pg5_pct_ge20k","pg5_pct_wage_major","pg5_pct_welfare_major","pg5_pct_other_major","pg5_pct_median","pg5_pct_lt50_median","pg5_pct_lt30_median","pg5_pct_2adults","pg5_pct_1adult","pg5_pct_female_head","pg5_pct_female_head_child","pg5_pct_disabled_lt62","pg5_pct_disabled_ge62","pg5_pct_disabled_all","pg5_pct_lt24_head","pg5_pct_age25_50","pg5_pct_age51_61","pg5_pct_age62plus","pg5_pct_age85plus","pg5_pct_minority","pg5_pct_black_nonhsp","pg5_pct_native_american_nonhsp","pg5_pct_asian_pacific_nonhsp","pg5_pct_white_nothsp","pg5_pct_black_hsp","pg5_pct_wht_hsp","pg5_pct_oth_hsp","pg5_pct_hispanic","pg5_pct_multi","pg5_months_waiting","pg5_months_from_movein","pg5_pct_utility_allow","pg5_pct_lt5kave_util_allow","pg7_units","pg7_reported","pg7_pct_reported","pg8_units","pg8_pct_occupied","pg8_occupied_units","pg8_pct_reported","pg8_reported_units","pg8_months_since_report","pg8_people_reporting","pg8_people_per_unit","pg8_rent_per_month","pg8_spending_per_month","pg8_hh_income","pg8_person_income","pg8_pct_lt5k","pg8_pct_5k_lt10k","pg8_pct_10k_lt15k","pg8_pct_15k_lt20k","pg8_pct_ge20k","pg8_pct_wage_major","pg8_pct_welfare_major","pg8_pct_other_major","pg8_pct_median","pg8_pct_lt50_median","pg8_pct_lt30_median","pg8_pct_2adults","pg8_pct_1adult","pg8_pct_female_head","pg8_pct_female_head_child","pg8_pct_disabled_lt62","pg8_pct_disabled_ge62","pg8_pct_disabled_all","pg8_pct_lt24_head","pg8_pct_age25_50","pg8_pct_age51_61","pg8_pct_age62plus","pg8_pct_age85plus","pg8_pct_minority","pg8_pct_black_nonhsp","pg8_pct_native_american_nonhsp","pg8_pct_asian_pacific_nonhsp","pg8_pct_white_nothsp","pg8_pct_black_hsp","pg8_pct_wht_hsp","pg8_pct_oth_hsp","pg8_pct_hispanic","pg8_pct_multi","pg8_months_waiting","pg8_months_from_movein","pg8_pct_utility_allow","pg8_pct_lt5kave_util_allow","pg9_units","pg9_pct_occupied","pg9_occupied_units","pg9_pct_reported","pg9_reported_units","pg9_months_since_report","pg9_people_reporting","pg9_people_per_unit","pg9_rent_per_month","pg9_spending_per_month","pg9_hh_income","pg9_person_income","pg9_pct_lt5k","pg9_pct_5k_lt10k","pg9_pct_10k_lt15k","pg9_pct_15k_lt20k","pg9_pct_ge20k","pg9_pct_wage_major","pg9_pct_welfare_major","pg9_pct_other_major","pg9_pct_median","pg9_pct_lt50_median","pg9_pct_lt30_median","pg9_pct_2adults","pg9_pct_1adult","pg9_pct_female_head","pg9_pct_female_head_child","pg9_pct_disabled_lt62","pg9_pct_disabled_ge62","pg9_pct_disabled_all","pg9_pct_lt24_head","pg9_pct_age25_50","pg9_pct_age51_61","pg9_pct_age62plus","pg9_pct_age85plus","pg9_pct_minority","pg9_pct_black_nonhsp","pg9_pct_native_american_nonhsp","pg9_pct_asian_pacific_nonhsp","pg9_pct_white_nothsp","pg9_pct_black_hsp","pg9_pct_wht_hsp","pg9_pct_oth_hsp","pg9_pct_hispanic","pg9_pct_multi","pg9_months_waiting","pg9_months_from_movein","pg9_pct_utility_allow","pg9_pct_lt5kave_util_allow"
"1","3400100100",1,"Absecon City","001",85,89,75.65,83.5294117647059,71,6,140,1.97183098591549,471,801,19122,9698,6,3,39,14,38,28,4,61,27,90,59,3,38,89,37,33,85,28,1,49,21,28,1,82,65,0,0,18,1,15,0,17,0,5,136,75,138,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,0.86,58.48,92.3392612859097,54,6,123,2.27777777777778,496,938,20088,8819,8,4,33,8,47,35,6,50,28,87,57,4,50,91,48,25,70,19,2,57,22,19,2,96,74,0,0,4,2,20,0,22,0,5,146,96,139,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,16,100,16,6,16,1,374,297,15366,15366,0,0,63,31,6,0,0,100,25,100,69,0,0,81,0,100,100,100,0,25,13,63,0,31,31,0,0,69,0,0,0,0,0,0,94,0,0
"2","3400102080",1,"Atlantic City","001",5024,88,4421.12,81.6281847133758,4101,6,7194,1.7542062911485,394,908,16843,9602,6,7,41,14,32,23,3,65,25,92,70,1,27,68,26,30,40,22,2,36,18,44,3,87,59,1,5,12,3,10,10,23,1,15,123,66,114,1470,82,1205.4,94.9062551850008,1144,6,1816,1.58741258741259,398,766,17568,11067,4,4,48,14,29,20,2,71,26,90,72,1,17,61,16,52,72,41,0,28,27,44,2,88,73,1,2,12,4,8,1,13,1,36,146,35,152,65,21,14,10,36,86,9,1500,0.87,1305,82.6053639846743,1078,7,2149,1.99350649350649,414,829,17033,8544,6,10,35,13,36,27,4,59,25,92,68,1,33,74,31,28,52,23,1,43,20,36,2,81,65,0,3,19,2,9,1,13,1,10,98,63,131,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2053,0.93,1909.29,98.3611709064626,1878,7,3228,1.71884984025559,381,1051,16294,9480,7,7,39,14,32,23,2,65,24,92,71,1,30,70,29,18,17,11,3,36,11,49,4,90,47,1,7,7,4,11,20,35,1,0,123,87,97,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","3400107810",1,"Brigantine City","001",14,91,12.74,92.8571428571429,13,7,19,1.46153846153846,521,1132,20417,13969,8,0,31,38,23,31,0,69,31,85,69,0,8,62,8,50,80,47,0,23,38,38,8,54,23,0,0,46,8,23,0,31,0,0,167,92,115,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.91,12.74,102.040816326531,13,7,19,1.46153846153846,521,1132,20417,13969,8,0,31,38,23,31,0,69,31,85,69,0,8,62,8,50,80,47,0,23,38,38,8,54,23,0,0,46,8,23,0,31,0,0,167,92,115,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","3400108680",1,"Buena Borough","001",91,91,82.81,94.5054945054945,86,6,133,1.54651162790698,464,881,20813,13458,2,5,31,27,35,15,0,85,31,88,62,2,13,74,15,53,50,41,0,20,17,63,10,47,10,0,0,53,2,31,2,36,1,37,89,99,79,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,0.91,82.81,103.85219176428,86,6,133,1.54651162790698,464,881,20813,13458,2,5,31,27,35,15,0,85,31,88,62,2,13,74,15,53,50,41,0,20,17,63,10,47,10,0,0,53,2,31,2,36,1,37,89,99,79,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","3400108710",5,"Buena Vista Township","001",34,48.5,16.49,50,17,7,43,2.52941176470588,600,1189,24500,9686,6,18,12,12,53,24,12,65,33,71,47,0,41,71,41,46,75,33,0,47,29,24,0,65,41,0,0,35,0,24,0,24,0,0,174,100,154,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0.485,16.49,103.092783505155,17,7,43,2.52941176470588,600,1189,24500,9686,6,18,12,12,53,24,12,65,33,71,47,0,41,71,41,46,75,33,0,47,29,24,0,65,41,0,0,35,0,24,0,24,0,0,174,100,154,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","3400120290",3,"Egg Harbor Township","001",241,89.3278008298755,215.28,93.3609958506224,225,6,493,2.19111111111111,445,960,18561,8471,9,9,29,16,38,35,4,56,26,92,64,1,46,84,45,24,67,20,1,54,15,31,2,67,40,0,0,31,3,9,14,26,1,16,116,25,171,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0.825104166666667,79.21,102.259815679838,81,6,217,2.67901234567901,458,1085,18717,6987,10,9,27,13,40,31,6,57,25,94,63,0,59,93,57,22,86,20,0,62,12,26,4,77,53,0,0,23,4,17,2,23,1,16,110,69,171,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.93,111.6,108.4229390681,121,5,253,2.09090909090909,457,1013,19313,9236,10,10,21,16,42,45,2,48,27,88,61,2,46,88,46,16,44,12,2,56,12,30,1,68,35,1,1,27,3,5,23,31,1,0,126,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.98,24.5,93.8775510204082,23,6,23,1,341,315,14061,14061,0,0,74,22,4,0,0,100,23,100,87,0,0,35,0,100,100,100,0,13,35,52,0,26,22,0,0,74,0,0,4,4,0,0,81,0,0
"7","3400120350",1,"Egg Harbor City","001",183,95,173.85,95.6284153005464,175,6,405,2.31428571428571,447,1217,18324,7918,2,11,27,15,44,35,3,48,25,93,63,2,51,80,47,24,58,20,5,53,17,26,3,87,44,1,1,12,4,18,21,42,2,24,148,98,141,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,0.88,48.4,99.1735537190083,48,6,123,2.5625,560,1036,22314,8708,4,9,28,11,48,27,4,65,30,85,56,2,48,83,44,44,100,31,2,52,17,29,4,75,50,2,2,25,8,13,0,21,4,24,130,92,138,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0.98,125.44,101.24362244898,127,6,282,2.22047244094488,404,1287,16817,7573,1,13,27,17,42,38,2,42,23,96,66,2,53,79,49,17,41,15,6,53,17,25,2,92,42,0,0,7,2,20,28,50,1,0,155,100,142,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","3400123940",1,"Folsom Borough","001",5,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","3400125560",6,"Galloway Township","001",275,87.0509090909091,239.39,86.9090909090909,239,6,436,1.82426778242678,480.623430962343,829.753138075314,20077.510460251,11560.640167364,6.29707112970711,2.30125523012552,31.9037656903766,18.4728033472803,40.6108786610879,24.4100418410042,1.79916317991632,69.6066945606695,29.4728033472803,88.6987447698745,58.0460251046025,1.35983263598326,25.81589958159,82.2259414225941,25.81589958159,36.0251046025105,44.9497907949791,17.8619246861925,0.313807531380753,35.4853556485356,16.7907949790795,47.0962343096234,8.17154811715481,63.4518828451883,52.2217573221757,0.728033472803347,2.07112970711297,32.4058577405858,1.27196652719665,5.48953974895398,1.89958158995816,8.38912133891213,3.18828451882845,10.0167364016736,115.531380753138,90.81589958159,140.330543933054,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,0.823426966292135,146.57,100.293375179095,147,6,340,2.31292517006803,530.061224489796,1016.28571428571,21618.0068027211,9339.79591836735,9.97278911564626,3.6530612244898,26.8979591836735,13.0884353741497,46.3877551020408,39.4625850340136,2.74829931972789,51.0748299319728,29.5850340136054,83.047619047619,58.6394557823129,2.12244897959184,42.0068027210884,83.7551020408163,42.0068027210884,25.0136054421769,69.0816326530612,20.578231292517,0.510204081632653,54.3061224489796,23.156462585034,21.5170068027211,3.28571428571429,84.6598639455782,72.5102040816327,0.510204081632653,0,15.3401360544218,1.89795918367347,6.63945578231293,2.23809523809524,10.7755102040816,4.70068027210884,9.31292517006803,129.557823129252,93.9115646258503,175.367346938776,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,83,0.95,78.85,100.190234622701,79,6,83,1.05063291139241,416,582,18363,17478,0,0,37,27,37,0,0,100,30,97,52,0,0,78,0,0,0,0,0,0,0,100,19,29,16,1,6,58,0,4,1,5,1,0,91,100,67,14,0.98,13.72,94.7521865889213,13,8,13,1,318,307,13075,13075,0,0,67,33,0,0,0,92,22,100,85,0,0,85,0,100,100,100,0,38,46,15,0,38,38,0,0,62,0,0,0,0,0,0,102,0,0
"10","3400129280",7,"Hamilton Township","001",513,84.9122807017544,435.6,82.0662768031189,421,6,1109,2.63420427553444,547.137767220903,890.717339667458,22443.674584323,8921.53681710214,5.00475059382423,4.48693586698337,29.6009501187648,13.5154394299287,46.667458432304,38.5011876484561,0.522565320665083,55.1567695961995,29.6342042755344,86.3729216152019,56.8931116389549,1.17102137767221,51.270783847981,85.8598574821853,50.4038004750594,31.8361045130641,73.7838479809976,20.5700712589074,0.895486935866983,65.4038004750594,17.2351543942993,16.7410926365796,0,77.5748218527316,63.9643705463183,0.522565320665083,0.619952494061758,22.2612826603325,1.69358669833729,9.22802850356295,1.78622327790974,12.4323040380047,0.798099762470309,19.1163895486936,143.657957244656,85.9097387173397,171.472684085511,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,0.846935123042506,378.58,97.2053462940462,368,6.29891304347826,1056,2.8695652173913,573.633152173913,994.279891304348,23472.6902173913,8456.33967391304,5.6929347826087,3.91847826086957,28.1195652173913,11.1657608695652,50.5108695652174,44.0271739130435,0.557065217391304,49.1603260869565,30.2065217391304,84.0516304347826,55.6385869565217,1.55434782608696,58.7554347826087,91.5054347826087,57.6521739130435,22.2554347826087,69.7391304347826,15.6059782608696,0.926630434782609,66.9021739130435,16.9048913043478,15.5951086956522,0,85.0190217391304,70.5842391304348,0.557065217391304,0.627717391304348,14.9809782608696,2.11141304347826,10.179347826087,1.14402173913043,13.4347826086957,0.855978260869565,17.875,155.024456521739,98.1576086956522,173.290760869565,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,0.647272727272727,42.72,98.314606741573,42,6,42,1,369.142857142857,152.857142857143,15587.8571428571,15587.8571428571,0,7.71428571428571,41.2857142857143,33.8571428571429,17,0,0,97.7142857142857,25.2857142857143,100,69.2857142857143,0,0,47.4285714285714,0,100,100,100,0,57.1428571428571,21.4285714285714,21.4285714285714,0,21.5714285714286,19.2857142857143,0,0,74,0,0,2.28571428571429,2.28571428571429,0,0,49.8571428571429,0,0
