"","CENSUS2010","count","units"
"1",3400100100,1,93
"2",3400102080,1,4841
"3",3400107810,1,22
"4",3400108680,1,90
"5",3400108710,1,14
"6",3400120290,1,237
"7",3400120350,1,182
"8",3400123940,1,6
"9",3400125560,3,287
"10",3400129430,1,27
"11",3400140530,1,6
"12",3400143890,1,110
"13",3400149410,2,51
"14",3400152950,1,11
"15",3400159640,1,830
"16",3400168430,1,316
"17",3400175620,1,163
"18",3400180330,1,2
"19",3400300700,1,5
"20",3400305170,1,297
"21",3400306490,1,108
"22",3400310480,1,39
"23",3400313570,1,760
"24",3400313810,1,23
"25",3400315820,1,15
"26",3400317530,1,2
"27",3400318400,1,234
"28",3400319510,1,219
"29",3400320020,1,229
"30",3400321300,1,390
"31",3400321450,1,14
"32",3400321480,1,1089
"33",3400321510,1,1
"34",3400322470,1,204
"35",3400322560,1,340
"36",3400324420,1,874
"37",3400324990,1,45
"38",3400325770,1,917
"39",3400326640,1,20
"40",3400328680,1,1541
"41",3400330150,1,3
"42",3400330420,1,132
"43",3400330540,1,7
"44",3400331920,1,107
"45",3400332310,1,1
"46",3400340020,1,132
"47",3400340680,1,77
"48",3400341100,1,795
"49",3400342090,1,265
"50",3400342750,1,104
"51",3400344880,1,198
"52",3400346110,1,16
"53",3400347610,1,19
"54",3400347700,1,9
"55",3400351660,1,57
"56",3400352320,1,76
"57",3400353430,1,53
"58",3400353610,1,5
"59",3400353850,1,6
"60",3400354870,1,33
"61",3400354990,1,3
"62",3400355770,1,180
"63",3400355950,1,94
"64",3400356130,1,41
"65",3400361680,1,115
"66",3400362910,1,37
"67",3400362940,1,179
"68",3400363000,1,186
"69",3400363360,1,40
"70",3400363690,1,69
"71",3400363990,1,31
"72",3400365280,1,112
"73",3400365340,1,90
"74",3400365400,1,14
"75",3400368970,1,53
"76",3400372360,1,478
"77",3400372420,1,48
"78",3400372480,1,5
"79",3400375140,1,5
"80",3400376400,1,13
"81",3400376490,1,57
"82",3400380270,1,201
"83",3400382570,1,63
"84",3400383050,1,3
"85",3400505740,1,82
"86",3400506670,1,17
"87",3400506700,1,4
"88",3400508920,1,299
"89",3400508950,1,145
"90",3400512940,1,15
"91",3400517080,1,10
"92",3400517440,1,34
"93",3400518790,1,16
"94",3400520050,1,51
"95",3400522110,2,160
"96",3400523850,3,91
"97",3400529010,1,2
"98",3400542060,1,127
"99",3400543740,1,103
"100",3400545120,1,27
"101",3400547880,1,67
"102",3400548900,1,51
"103",3400549020,2,64
"104",3400553070,1,24
"105",3400555800,1,14
"106",3400557480,1,10
"107",3400557510,3,112
"108",3400563510,1,26
"109",3400563660,1,3
"110",3400568610,1,2
"111",3400578200,1,24
"112",3400581440,1,194
"113",3400582420,1,1
"114",3400582960,1,27
"115",3400702200,1,134
"116",3400703250,1,15
"117",3400704750,1,26
"118",3400705440,1,2
"119",3400705470,1,6
"120",3400708170,1,8
"121",3400710000,1,6096
"122",3400712280,9,619
"123",3400712550,1,48
"124",3400713420,1,154
"125",3400714260,1,170
"126",3400726070,1,2
"127",3400726760,3,550
"128",3400726820,1,162
"129",3400728740,1,216
"130",3400728770,1,58
"131",3400728800,1,125
"132",3400732220,1,11
"133",3400739210,1,3
"134",3400739420,1,141
"135",3400740440,1,545
"136",3400742630,1,16
"137",3400745510,1,24
"138",3400748750,1,90
"139",3400753880,1,10
"140",3400757660,1,788
"141",3400758770,1,772
"142",3400765160,1,23
"143",3400768340,1,28
"144",3400771220,1,16
"145",3400776220,2,288
"146",3400777630,1,4
"147",3400781740,1,223
"148",3400782450,1,84
"149",3400910270,1,254
"150",3400910330,1,1
"151",3400917560,1,10
"152",3400941610,4,270
"153",3400945810,5,75
"154",3400953490,1,12
"155",3400954360,1,111
"156",3400966390,1,1
"157",3400971010,1,2
"158",3400974810,1,3
"159",3400978530,1,2
"160",3400980210,1,7
"161",3400981170,1,268
"162",3400981200,1,14
"163",3400981890,1,111
"164",3401107600,1,1069
"165",3401114710,3,57
"166",3401116900,2,8
"167",3401118220,1,8
"168",3401122350,3,23
"169",3401144580,1,3
"170",3401146680,1,1272
"171",3401174870,2,256
"172",3401176070,1,1575
"173",3401309250,1,162
"174",3401311200,1,151
"175",3401313045,1,1891
"176",3401319390,1,4509
"177",3401322385,1,1
"178",3401326610,1,4
"179",3401334450,1,1635
"180",3401340890,1,16
"181",3401343800,1,142
"182",3401346380,1,2
"183",3401347500,2,749
"184",3401351000,1,23471
"185",3401352620,1,2
"186",3401353680,1,227
"187",3401369274,1,83
"188",3401375815,1,165
"189",3401378510,1,12
"190",3401379800,1,608
"191",3401513360,1,223
"192",3401517710,2,537
"193",3401519180,1,42
"194",3401521060,1,6
"195",3401526340,1,621
"196",3401528185,2,86
"197",3401530180,3,97
"198",3401541160,2,14
"199",3401543440,1,38
"200",3401549680,1,36
"201",3401551390,1,3
"202",3401557150,1,386
"203",3401559070,1,16
"204",3401571850,1,38
"205",3401578110,1,2
"206",3401578800,1,250
"207",3401580120,1,137
"208",3401582120,1,765
"209",3401582180,1,9
"210",3401582840,1,26
"211",3401703580,1,2116
"212",3401719360,1,4
"213",3401728650,1,440
"214",3401730210,1,289
"215",3401732250,1,2759
"216",3401736000,1,11805
"217",3401736510,1,185
"218",3401752470,1,2316
"219",3401766570,1,537
"220",3401774630,1,1658
"221",3401777930,1,521
"222",3401779610,1,1489
"223",3401900550,1,12
"224",3401905650,1,1
"225",3401906370,1,5
"226",3401909280,1,1
"227",3401913720,1,16
"228",3401913750,2,36
"229",3401917170,1,12
"230",3401918820,1,6
"231",3401923700,1,180
"232",3401925350,1,40
"233",3401926550,1,45
"234",3401929460,1,57
"235",3401931320,1,20
"236",3401932460,1,2
"237",3401937065,1,5
"238",3401938610,1,96
"239",3401939630,1,8
"240",3401939660,1,7
"241",3401946260,1,15
"242",3401961920,1,97
"243",3401962250,2,43
"244",3401970980,1,2
"245",3401972510,1,11
"246",3401978230,1,14
"247",3402119780,2,214
"248",3402122185,1,305
"249",3402131620,1,101
"250",3402133150,1,1
"251",3402160900,1,180
"252",3402160915,1,256
"253",3402163850,2,14
"254",3402174000,1,5427
"255",3402180240,2,103
"256",3402310750,1,894
"257",3402315550,2,5
"258",3402318490,1,27
"259",3402319000,1,237
"260",3402320230,1,1174
"261",3402330840,1,2
"262",3402331470,1,269
"263",3402334890,1,14
"264",3402345690,1,131
"265",3402345900,1,112
"266",3402346620,1,13
"267",3402351210,1,1995
"268",3402352560,1,489
"269",3402354705,5,493
"270",3402358200,1,1632
"271",3402359010,2,163
"272",3402359280,3,54
"273",3402365790,1,579
"274",3402368550,1,230
"275",3402368790,6,223
"276",3402369390,1,26
"277",3402369420,1,199
"278",3402369810,1,214
"279",3402382000,8,1054
"280",3402500070,3,81
"281",3402501960,1,1901
"282",3402502110,1,10
"283",3402502440,1,1
"284",3402504930,1,68
"285",3402506970,1,41
"286",3402507750,1,6
"287",3402514560,1,4
"288",3402516660,1,3
"289",3402519840,1,494
"290",3402521570,1,9
"291",3402522440,1,1
"292",3402522950,1,22
"293",3402525200,1,348
"294",3402525230,3,163
"295",3402530690,1,364
"296",3402531500,1,160
"297",3402532640,1,15
"298",3402533300,2,328
"299",3402536480,1,616
"300",3402536810,1,412
"301",3402537560,1,9
"302",3402541310,1,1534
"303",3402542990,2,96
"304",3402543050,1,2
"305",3402544070,3,18
"306",3402544520,1,203
"307",3402545990,7,743
"308",3402546560,1,19
"309",3402547130,1,4
"310",3402549890,3,1281
"311",3402549920,1,270
"312",3402554570,1,140
"313",3402562430,1,242
"314",3402564410,1,20
"315",3402566240,1,1
"316",3402567350,1,8
"317",3402567365,1,27
"318",3402570110,1,2
"319",3402570140,1,6
"320",3402573020,1,257
"321",3402574540,1,27
"322",3402574900,1,1
"323",3402576460,2,128
"324",3402579310,1,159
"325",3402706610,1,253
"326",3402706640,1,1
"327",3402709040,1,119
"328",3402712100,1,3
"329",3402712580,1,2
"330",3402712610,1,2
"331",3402717650,1,116
"332",3402718070,1,425
"333",3402719210,1,1
"334",3402723910,1,36
"335",3402729550,1,44
"336",3402729700,1,6
"337",3402734980,1,71
"338",3402737110,1,4
"339",3402740290,1,18
"340",3402741362,1,6
"341",3402742510,1,261
"342",3402745330,1,1
"343",3402746860,1,7
"344",3402747670,1,20
"345",3402748090,1,146
"346",3402748210,1,15
"347",3402748300,1,671
"348",3402748690,1,10
"349",3402749080,2,302
"350",3402750130,1,56
"351",3402756460,1,600
"352",3402758110,1,108
"353",3402761890,1,181
"354",3402763300,1,3
"355",3402764050,1,24
"356",3402764080,3,137
"357",3402764980,3,80
"358",3402775890,1,12
"359",3402780390,1,82
"360",3402903130,1,1
"361",3402903520,1,1
"362",3402903940,1,1
"363",3402904180,1,19
"364",3402905305,5,294
"365",3402907420,1,586
"366",3402918670,1,1
"367",3402930390,1,1
"368",3402934680,1,186
"369",3402937380,2,49
"370",3402937770,1,14
"371",3402938550,4,2944
"372",3402940560,2,156
"373",3402941250,1,1
"374",3402943140,7,195
"375",3402954450,1,15
"376",3402958590,1,1
"377",3402959790,2,4
"378",3402959880,1,6
"379",3402959910,1,4
"380",3402966450,1,92
"381",3402966480,1,7
"382",3402969510,1,41
"383",3402973125,2,814
"384",3402974210,1,57
"385",3403106340,1,15
"386",3403113690,1,817
"387",3403129070,1,253
"388",3403130570,1,96
"389",3403140620,2,28
"390",3403153040,1,11
"391",3403156550,1,3205
"392",3403157000,1,6520
"393",3403160090,1,124
"394",3403161170,1,217
"395",3403163150,1,25
"396",3403173140,1,16
"397",3403176730,1,29
"398",3403177840,1,416
"399",3403179460,1,40
"400",3403182423,1,90
"401",3403300880,1,2
"402",3403310610,2,215
"403",3403321240,1,2
"404",3403321330,1,2
"405",3403343200,1,1
"406",3403354810,1,2
"407",3403357750,1,560
"408",3403357870,2,201
"409",3403358530,1,39
"410",3403359130,1,17
"411",3403361470,2,34
"412",3403365490,1,361
"413",3403382720,1,26
"414",3403504450,1,10
"415",3403505560,1,408
"416",3403505590,1,6
"417",3403506790,1,122
"418",3403507180,1,13
"419",3403507720,5,187
"420",3403522890,1,1
"421",3403524900,7,647
"422",3403527510,1,16
"423",3403531890,1,62
"424",3403543620,1,148
"425",3403547580,1,50
"426",3403553280,1,146
"427",3403561980,1,48
"428",3403568460,1,339
"429",3403568730,1,37
"430",3403576940,1,21
"431",3403577600,1,2
"432",3403701360,1,8
"433",3403707300,1,7
"434",3403709160,1,1
"435",3403724810,2,6
"436",3403724930,1,86
"437",3403725140,1,3
"438",3403727420,1,1
"439",3403729220,1,24
"440",3403729490,2,7
"441",3403729850,1,28
"442",3403732910,1,29
"443",3403737440,1,16
"444",3403747430,1,25
"445",3403751930,1,417
"446",3403754660,1,2
"447",3403765700,1,5
"448",3403769690,2,185
"449",3403770380,1,3
"450",3403770890,1,4
"451",3403771670,1,70
"452",3403775740,3,25
"453",3403776790,1,29
"454",3403905320,1,2
"455",3403913150,1,12
"456",3403915640,1,145
"457",3403921000,1,3969
"458",3403922860,1,8
"459",3403925800,1,73
"460",3403931980,1,90
"461",3403936690,1,3
"462",3403940350,1,824
"463",3403951810,1,3
"464",3403959190,1,1603
"465",3403961530,1,832
"466",3403964620,1,627
"467",3403964650,1,35
"468",3403966060,1,23
"469",3403971430,1,208
"470",3403979040,1,209
"471",3404100670,3,19
"472",3404101030,1,30
"473",3404104990,1,114
"474",3404106160,2,12
"475",3404124960,3,8
"476",3404125320,1,1
"477",3404128260,2,4
"478",3404128710,1,171
"479",3404133060,1,1
"480",3404133930,2,22
"481",3404137320,4,18
"482",3404140110,2,5
"483",3404141490,3,150
"484",3404143320,2,94
"485",3404155530,1,10
"486",3404158350,1,891
"487",3404159820,3,25
"488",3404177270,1,200
"489",3404180570,2,49
"490",NA,6,1604
