,CENSUS2010,count,name,county,total_units,total_pct_occupied,total_occupied,total_pct_reported,total_reported,total_months_since_report,total_people_reporting,total_people_per_unit,total_rent_per_month,total_spending_per_month,total_hh_income,total_person_income,total_pct_lt5k,total_pct_5k_lt10k,total_pct_10k_lt15k,total_pct_15k_lt20k,total_pct_ge20k,total_pct_wage_major,total_pct_welfare_major,total_pct_other_major,total_pct_median,total_pct_lt50_median,total_pct_lt30_median,total_pct_2adults,total_pct_1adult,total_pct_female_head,total_pct_female_head_child,total_pct_disabled_lt62,total_pct_disabled_ge62,total_pct_disabled_all,total_pct_lt24_head,total_pct_age25_50,total_pct_age51_61,total_pct_age62plus,total_pct_age85plus,total_pct_minority,total_pct_black_nonhsp,total_pct_native_american_nonhsp,total_pct_asian_pacific_nonhsp,total_pct_white_nothsp,total_pct_black_hsp,total_pct_wht_hsp,total_pct_oth_hsp,total_pct_hispanic,total_pct_multi,total_months_waiting,total_months_from_movein,total_pct_utility_allow,total_pct_lt5kave_util_allow,pg2_units,pg2_pct_occupied,pg2_occupied_units,pg2_pct_reported,pg2_reported_units,pg2_months_since_report,pg2_people_reporting,pg2_people_per_unit,pg2_rent_per_month,pg2_spending_per_month,pg2_hh_income,pg2_person_income,pg2_pct_lt5k,pg2_pct_5k_lt10k,pg2_pct_10k_lt15k,pg2_pct_15k_lt20k,pg2_pct_ge20k,pg2_pct_wage_major,pg2_pct_welfare_major,pg2_pct_other_major,pg2_pct_median,pg2_pct_lt50_median,pg2_pct_lt30_median,pg2_pct_2adults,pg2_pct_1adult,pg2_pct_female_head,pg2_pct_female_head_child,pg2_pct_disabled_lt62,pg2_pct_disabled_ge62,pg2_pct_disabled_all,pg2_pct_lt24_head,pg2_pct_age25_50,pg2_pct_age51_61,pg2_pct_age62plus,pg2_pct_age85plus,pg2_pct_minority,pg2_pct_black_nonhsp,pg2_pct_native_american_nonhsp,pg2_pct_asian_pacific_nonhsp,pg2_pct_white_nothsp,pg2_pct_black_hsp,pg2_pct_wht_hsp,pg2_pct_oth_hsp,pg2_pct_hispanic,pg2_pct_multi,pg2_months_waiting,pg2_months_from_movein,pg2_pct_utility_allow,pg2_pct_lt5kave_util_allow,pg2_pct_bed1,pg2_pct_bed2,pg2_pct_bed3,pg2_pct_overhoused,pg2_tpoverty,pg2_tminority,pg2_tpct_ownsfd,pg3_units,pg3_pct_occupied,pg3_occupied_units,pg3_pct_reported,pg3_reported_units,pg3_months_since_report,pg3_people_reporting,pg3_people_per_unit,pg3_rent_per_month,pg3_spending_per_month,pg3_hh_income,pg3_person_income,pg3_pct_lt5k,pg3_pct_5k_lt10k,pg3_pct_10k_lt15k,pg3_pct_15k_lt20k,pg3_pct_ge20k,pg3_pct_wage_major,pg3_pct_welfare_major,pg3_pct_other_major,pg3_pct_median,pg3_pct_lt50_median,pg3_pct_lt30_median,pg3_pct_2adults,pg3_pct_1adult,pg3_pct_female_head,pg3_pct_female_head_child,pg3_pct_disabled_lt62,pg3_pct_disabled_ge62,pg3_pct_disabled_all,pg3_pct_lt24_head,pg3_pct_age25_50,pg3_pct_age51_61,pg3_pct_age62plus,pg3_pct_age85plus,pg3_pct_minority,pg3_pct_black_nonhsp,pg3_pct_native_american_nonhsp,pg3_pct_asian_pacific_nonhsp,pg3_pct_white_nothsp,pg3_pct_black_hsp,pg3_pct_wht_hsp,pg3_pct_oth_hsp,pg3_pct_hispanic,pg3_pct_multi,pg3_months_waiting,pg3_months_from_movein,pg3_pct_utility_allow,pg3_pct_lt5kave_util_allow,pg4_units,pg4_pct_occupied,pg4_occupied_units,pg4_pct_reported,pg4_reported_units,pg4_months_since_report,pg4_people_reporting,pg4_people_per_unit,pg4_rent_per_month,pg4_spending_per_month,pg4_hh_income,pg4_person_income,pg4_pct_lt5k,pg4_pct_5k_lt10k,pg4_pct_10k_lt15k,pg4_pct_15k_lt20k,pg4_pct_ge20k,pg4_pct_wage_major,pg4_pct_welfare_major,pg4_pct_other_major,pg4_pct_median,pg4_pct_lt50_median,pg4_pct_lt30_median,pg4_pct_2adults,pg4_pct_1adult,pg4_pct_female_head,pg4_pct_female_head_child,pg4_pct_disabled_lt62,pg4_pct_disabled_ge62,pg4_pct_disabled_all,pg4_pct_lt24_head,pg4_pct_age25_50,pg4_pct_age51_61,pg4_pct_age62plus,pg4_pct_age85plus,pg4_pct_minority,pg4_pct_black_nonhsp,pg4_pct_native_american_nonhsp,pg4_pct_asian_pacific_nonhsp,pg4_pct_white_nothsp,pg4_pct_black_hsp,pg4_pct_wht_hsp,pg4_pct_oth_hsp,pg4_pct_hispanic,pg4_pct_multi,pg4_months_waiting,pg4_months_from_movein,pg4_pct_utility_allow,pg4_pct_lt5kave_util_allow,pg5_units,pg5_pct_occupied,pg5_occupied_units,pg5_pct_reported,pg5_reported_units,pg5_months_since_report,pg5_people_reporting,pg5_people_per_unit,pg5_rent_per_month,pg5_spending_per_month,pg5_hh_income,pg5_person_income,pg5_pct_lt5k,pg5_pct_5k_lt10k,pg5_pct_10k_lt15k,pg5_pct_15k_lt20k,pg5_pct_ge20k,pg5_pct_wage_major,pg5_pct_welfare_major,pg5_pct_other_major,pg5_pct_median,pg5_pct_lt50_median,pg5_pct_lt30_median,pg5_pct_2adults,pg5_pct_1adult,pg5_pct_female_head,pg5_pct_female_head_child,pg5_pct_disabled_lt62,pg5_pct_disabled_ge62,pg5_pct_disabled_all,pg5_pct_lt24_head,pg5_pct_age25_50,pg5_pct_age51_61,pg5_pct_age62plus,pg5_pct_age85plus,pg5_pct_minority,pg5_pct_black_nonhsp,pg5_pct_native_american_nonhsp,pg5_pct_asian_pacific_nonhsp,pg5_pct_white_nothsp,pg5_pct_black_hsp,pg5_pct_wht_hsp,pg5_pct_oth_hsp,pg5_pct_hispanic,pg5_pct_multi,pg5_months_waiting,pg5_months_from_movein,pg5_pct_utility_allow,pg5_pct_lt5kave_util_allow,pg6_units,pg7_units,pg7_reported,pg7_pct_reported,pg8_units,pg8_pct_occupied,pg8_occupied_units,pg8_pct_reported,pg8_reported_units,pg8_months_since_report,pg8_people_reporting,pg8_people_per_unit,pg8_rent_per_month,pg8_spending_per_month,pg8_hh_income,pg8_person_income,pg8_pct_lt5k,pg8_pct_5k_lt10k,pg8_pct_10k_lt15k,pg8_pct_15k_lt20k,pg8_pct_ge20k,pg8_pct_wage_major,pg8_pct_welfare_major,pg8_pct_other_major,pg8_pct_median,pg8_pct_lt50_median,pg8_pct_lt30_median,pg8_pct_2adults,pg8_pct_1adult,pg8_pct_female_head,pg8_pct_female_head_child,pg8_pct_disabled_lt62,pg8_pct_disabled_ge62,pg8_pct_disabled_all,pg8_pct_lt24_head,pg8_pct_age25_50,pg8_pct_age51_61,pg8_pct_age62plus,pg8_pct_age85plus,pg8_pct_minority,pg8_pct_black_nonhsp,pg8_pct_native_american_nonhsp,pg8_pct_asian_pacific_nonhsp,pg8_pct_white_nothsp,pg8_pct_black_hsp,pg8_pct_wht_hsp,pg8_pct_oth_hsp,pg8_pct_hispanic,pg8_pct_multi,pg8_months_waiting,pg8_months_from_movein,pg8_pct_utility_allow,pg8_pct_lt5kave_util_allow,pg9_units,pg9_pct_occupied,pg9_occupied_units,pg9_pct_reported,pg9_reported_units,pg9_months_since_report,pg9_people_reporting,pg9_people_per_unit,pg9_rent_per_month,pg9_spending_per_month,pg9_hh_income,pg9_person_income,pg9_pct_lt5k,pg9_pct_5k_lt10k,pg9_pct_10k_lt15k,pg9_pct_15k_lt20k,pg9_pct_ge20k,pg9_pct_wage_major,pg9_pct_welfare_major,pg9_pct_other_major,pg9_pct_median,pg9_pct_lt50_median,pg9_pct_lt30_median,pg9_pct_2adults,pg9_pct_1adult,pg9_pct_female_head,pg9_pct_female_head_child,pg9_pct_disabled_lt62,pg9_pct_disabled_ge62,pg9_pct_disabled_all,pg9_pct_lt24_head,pg9_pct_age25_50,pg9_pct_age51_61,pg9_pct_age62plus,pg9_pct_age85plus,pg9_pct_minority,pg9_pct_black_nonhsp,pg9_pct_native_american_nonhsp,pg9_pct_asian_pacific_nonhsp,pg9_pct_white_nothsp,pg9_pct_black_hsp,pg9_pct_wht_hsp,pg9_pct_oth_hsp,pg9_pct_hispanic,pg9_pct_multi,pg9_months_waiting,pg9_months_from_movein,pg9_pct_utility_allow,pg9_pct_lt5kave_util_allow,GISJOIN,GISJOIN2
1,3400100100,1,Absecon City,Atlantic,93,86,79.98,88.17204301,82,6,179,2.182926829,425,765,16936,7758,7,12,34,15,32,27,2,71,26,94,66,2,46,90,45,38,83,28,1,54,24,21,1,80,68,0,1,20,1,9,1,11,1,15,122,80,147,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,0.83,63.08,104.6290425,66,5,163,2.46969697,446,871,17692,7164,9,15,26,12,38,32,3,65,26,92,62,3,58,92,56,32,67,21,2,61,26,12,2,91,77,0,0,9,2,11,2,14,2,15,131,98,148,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.97,15.52,96.64948454,15,6,15,1,317,328,13096,13096,0,0,73,27,0,0,0,100,23,100,87,0,0,80,0,100,100,100,0,27,13,60,0,33,27,0,7,67,0,0,0,0,0,0,79,0,0,G3400100100,G340001000100
2,3400102080,1,Atlantic City City,Atlantic,4841,91,4405.31,88.43214212,4281,7,7618,1.779490773,325,916,13906,7815,7,26,33,15,20,16,2,75,22,96,78,1,28,69,27,35,40,23,3,37,20,41,3,87,61,1,4,12,3,10,8,21,1,23,116,64,112,1600,94,1504,97.20744681,1462,7,2449,1.675102599,311,1003,13661,8155,6,29,33,14,18,14,2,76,22,95,79,1,20,64,19,54,67,38,1,33,29,37,2,88,74,0,1,12,3,8,1,12,1,28,127,32,139,62,22,15,8,39,85,13,1285,0.82,1053.7,94.99857644,1001,6,2005,2.002997003,382,777,15594,7785,6,21,27,18,28,22,3,69,24,94,71,1,34,74,32,28,53,22,1,44,19,36,3,80,65,0,3,20,2,9,2,13,1,17,94,70,137,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,0.96,1873.92,96.80242486,1814,7,3160,1.742006615,306,924,13190,7572,8,25,35,13,19,15,2,79,21,97,81,1,31,70,30,21,17,12,4,36,12,48,4,89,49,1,6,8,4,12,17,33,1,0,120,86,92,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400102080,G340001002080
3,3400107810,1,Brigantine City,Atlantic,22,89,19.58,90.90909091,20,5,40,2,452,873,18482,9241,5,10,45,5,35,20,0,80,27,90,70,0,30,75,30,31,71,30,0,35,30,35,5,55,40,0,0,45,0,15,0,15,0,0,158,95,126,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.89,19.58,102.145046,20,5,40,2,452,873,18482,9241,5,10,45,5,35,20,0,80,27,90,70,0,30,75,30,31,71,30,0,35,30,35,5,55,40,0,0,45,0,15,0,15,0,0,158,95,126,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400107810,G340001007810
4,3400108680,1,Buena Borough,Atlantic,90,94,84.6,91.11111111,82,8,120,1.463414634,374,749,16699,11411,0,12,40,23,24,12,0,88,28,93,71,2,10,74,12,72,60,48,0,20,20,61,10,50,9,0,0,50,2,35,4,41,0,12,87,100,86,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,0.94,84.6,96.92671395,82,8,120,1.463414634,374,749,16699,11411,0,12,40,23,24,12,0,88,28,93,71,2,10,74,12,72,60,48,0,20,20,61,10,50,9,0,0,50,2,35,4,41,0,12,87,100,86,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400108680,G340001008680
5,3400108710,1,Buena Vista Township,Atlantic,14,95,13.3,92.85714286,13,7,36,2.769230769,587,873,20810,7515,0,15,31,8,46,46,0,54,31,85,62,0,54,100,54,25,0,17,0,54,38,8,0,77,54,8,0,23,0,15,0,15,0,0,188,100,179,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.95,13.3,97.7443609,13,7,36,2.769230769,587,873,20810,7515,0,15,31,8,46,46,0,54,31,85,62,0,54,100,54,25,0,17,0,54,38,8,0,77,54,8,0,23,0,15,0,15,0,0,188,100,179,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400108710,G340001008710
6,3400120290,1,Egg Harbor Township,Atlantic,237,93,220.41,96.20253165,228,5,508,2.228070175,399,875,16336,7332,9,13,30,19,30,30,1,65,24,94,74,2,46,86,46,27,64,20,1,56,18,25,2,68,43,0,1,32,4,10,10,24,0,12,109,26,181,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,0.88,80.96,101.284585,82,6,247,3.012195122,400,874,15967,5301,7,11,24,28,30,30,1,59,22,95,79,2,67,95,67,26,89,18,0,68,21,11,1,82,59,0,0,18,5,18,0,23,1,12,96,73,181,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,0.96,115.2,105.9027778,122,4,237,1.942622951,422,983,17495,9006,11,14,26,13,36,35,2,63,26,93,65,2,41,89,42,16,49,14,2,52,16,30,2,66,35,1,1,33,4,6,19,29,0,0,128,0,0,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.97,24.25,98.96907216,24,6,24,1,282,359,11706,11706,4,13,67,17,0,0,0,100,21,100,100,0,0,42,0,100,100,100,0,33,25,42,0,29,25,0,4,71,0,0,0,0,0,0,59,0,0,G3400120290,G340001020290
7,3400120350,1,Egg Harbor City City,Atlantic,182,95,172.9,95.6043956,174,5,407,2.33908046,401,922,16861,7208,3,17,26,19,35,29,2,59,25,93,70,3,50,81,47,20,44,16,5,53,19,23,2,89,45,0,1,10,2,22,19,43,1,6,144,99,126,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0.88,44,100,44,6,113,2.568181818,448,860,18591,7239,7,17,21,17,38,18,2,75,27,95,66,2,48,77,45,33,64,23,0,57,18,25,5,73,50,0,2,27,5,11,5,20,0,6,103,95,148,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,0.97,128.04,101.5307716,130,5,294,2.261538462,385,943,16276,7197,2,17,27,20,34,33,2,53,24,92,72,4,51,82,47,15,37,13,7,52,19,22,2,94,43,0,1,5,1,25,24,50,1,0,157,100,119,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400120350,G340001020350
8,3400123940,1,Folsom Borough,Atlantic,6,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400123940,G340001023940
9,3400125560,3,Galloway Township,Atlantic,287,87.83623693,252.09,86.75958188,249,5.78313253,506,2.032128514,429.1927711,736.7831325,17708.38956,9247.654618,5.220883534,9.502008032,27.89156627,22.75903614,34.25702811,21.30120482,1.044176707,73.85140562,26.84738956,94.69477912,63.00401606,1.477911647,36.70281124,83.13253012,36.70281124,36.12851406,48.88353414,16.34939759,0,47.52610442,11.63052209,40.73493976,9.606425703,66.15662651,52.53012048,1.542168675,1.108433735,32.73493976,0.955823293,8.911646586,1.847389558,11.6064257,2.891566265,8.34939759,108.3012048,92.45381526,144.9196787,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0.828210526,157.36,103.5841383,163,5.54601227,417,2.558282209,473.8466258,869.5153374,18911.92025,7395.546012,7.116564417,12.36809816,21.63803681,18.64417178,40.23312883,32.46625767,1.423312883,61.44171779,27,91.82208589,64.2208589,2.085889571,55.62576687,83.93865031,55.62576687,25.00613497,69.38650307,17.51533742,0,69.58282209,14.2208589,16.03067485,3.312883436,85.34355828,70.72392638,1.27607362,0,14.65644172,1.374233129,10.21472393,2.085889571,13.50920245,3.975460123,11.19631902,114.7423313,96.70552147,180.1165644,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,83,0.98,81.34,88.51733464,72,6,75,1.041666667,358,532,16207,15558,0,6,35,32,28,0,0,100,28,100,56,0,0,82,0,0,0,0,0,0,0,100,25,29,14,3,4,67,0,7,1,8,3,0,99,100,58,14,1,14,100,14,8,14,1,276,330,11420,11420,8,0,69,23,0,0,7,86,20,100,86,0,0,79,0,100,100,100,0,36,43,21,0,36,36,0,0,64,0,0,0,0,0,0,82,0,0,G3400125560,G340001025560
10,3400129430,1,Hammonton Town,Atlantic,27,96,25.92,96.2962963,26,4,53,2.038461538,497,917,20315,9966,8,4,35,15,38,31,0,69,30,85,58,4,19,73,19,65,67,40,0,27,38,35,8,54,35,0,0,46,0,19,0,19,0,0,176,96,153,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.96,25.92,100.308642,26,4,53,2.038461538,497,917,20315,9966,8,4,35,15,38,31,0,69,30,85,58,4,19,73,19,65,67,40,0,27,38,35,8,54,35,0,0,46,0,19,0,19,0,0,176,96,153,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G3400129430,G340001029430
